# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1379     6	   1376     2	   1363     6	   1376     2	   3011   161	   3031   158	   1376     3	   1376     2
24  	   4244   778	   4121   738	   4021   721	   4222   784	   4636   914	   4659   917	   4221   779	   4046   721
32  	   6209  1160	   5984  1098	   5837  1061	   6133  1156	   6928  1368	   6958  1375	   6180  1156	   5868  1063
48  	  11106  1481	  10611  1391	  10359  1350	  10870  1455	  12621  1767	  12665  1774	  11063  1477	  10403  1355
64  	  16064  1668	  15247  1551	  14897  1511	  15617  1621	  18470  2040	  18529  2048	  16008  1667	  14954  1513
96  	  27133  2245	  25579  2051	  25022  2003	  26175  2137	  31510  2817	  31600  2827	  27049  2244	  25110  2008
128 	  38621  2682	  36225  2436	  35465  2375	  37039  2525	  45196  3430	  45316  3443	  38509  2678	  35580  2383
192 	  63675  3574	  59358  3169	  58182  3117	  60607  3265	  75116  4762	  75296  4773	  63511  3573	  58355  3122
256 	  89915  4466	  83493  3930	  81902  3873	  85203  4043	 106595  6073	 106837  6083	  89695  4465	  82134  3879
384 	 145178  6259	 134207  5452	 131799  5380	 136786  5577	 172974  8686	 173333  8700	 144850  6258	 132144  5388
512 	 203315  7799	 187425  6652	 184191  6573	 190885  6783	 242970 11162	 243448 11178	 202878  7792	 184653  6579
768 	 326097 11860	 299141 10046	 294269  9960	 304361 10165	 391973 17049	 392687 17069	 325443 11858	 294958  9971
1024	 455105 16021	 416378 13387	 409837 13291	 423395 13537	 548637 23159	 549594 23181	 454221 16016	 410756 13302
