# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4239   500	   4229   500	   4217   501	   4228   501	   4789   414	   4811   412	   4229   501	   4228   501
24  	   7506   769	   7379   742	   7280   734	   7482   773	   8211   878	   8235   881	   7484   771	   7303   734
32  	  10703   885	  10463   836	  10313   825	  10617   873	  12014  1085	  12046  1089	  10673   885	  10344   825
48  	  17682  1148	  17199  1094	  16951  1083	  17456  1132	  20357  1371	  20402  1376	  17640  1149	  16993  1083
64  	  24784  1329	  24006  1264	  23655  1246	  24364  1303	  29062  1615	  29121  1621	  24727  1328	  23712  1249
96  	  40278  1857	  38758  1718	  38200  1699	  39331  1762	  48292  2351	  48383  2360	  40194  1857	  38288  1700
128 	  55953  2039	  53636  1868	  52878  1847	  54422  1913	  68073  2649	  68189  2653	  55840  2040	  52997  1848
192 	  88966  2872	  84834  2605	  83678  2583	  86036  2663	 110247  3765	 110427  3771	  88800  2871	  83850  2584
256 	 122973  3477	 116840  3094	 115289  3070	 118433  3154	 154346  4800	 154580  4810	 122752  3477	 115518  3072
384 	 193811  4875	 183312  4153	 180953  4125	 185717  4207	 247453  6974	 247802  6985	 193474  4872	 181297  4127
512 	 266398  6763	 251035  5708	 247905  5656	 254229  5772	 344406  9774	 344865  9779	 265954  6755	 248356  5667
768 	 417410  9699	 391814  8073	 387108  8045	 396587  8132	 548127 14174	 548808 14172	 416742  9695	 387786  8042
1024	 570922 11521	 534318  9517	 528083  9466	 540627  9565	 758459 17198	 759347 17209	 570036 11517	 528982  9469
