# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4679   619	   5404   740	   5392   740	   4857   620	   5277   524	   5298   522	   4670   620	   5404   740
24  	   8577   898	   9305   959	   9186   954	   8855   907	   9245   984	   9269   986	   8557   900	   9209   954
32  	  12419  1011	  13343  1075	  13163  1069	  12746  1020	  13507  1088	  13536  1091	  12390  1010	  13192  1068
48  	  21164  1375	  22404  1432	  22099  1422	  21545  1371	  23137  1453	  23182  1456	  21122  1377	  22143  1420
64  	  30178  1685	  31666  1744	  31231  1733	  30555  1662	  33143  1786	  33205  1789	  30120  1686	  31290  1735
96  	  49760  2202	  51669  2239	  50985  2232	  50033  2152	  54934  2341	  55023  2343	  49677  2206	  51071  2232
128 	  70426  2825	  72651  2843	  71703  2824	  70525  2766	  77912  2976	  78030  2980	  70314  2825	  71818  2827
192 	 114512  3741	 117123  3694	 115664  3682	 113978  3580	 127297  4026	 127474  4030	 114342  3743	 115838  3682
256 	 160586  5252	 163382  4999	 161410  4979	 159224  4973	 179021  5547	 179256  5549	 160362  5252	 161642  4981
384 	 257916  7207	 260736  6951	 257747  6936	 254518  6824	 288376  7581	 288736  7584	 257579  7205	 258096  6939
512 	 359853  9470	 362283  9064	 358284  9061	 354027  8914	 403100  9897	 403572  9897	 359403  9469	 358741  9062
768 	 574829 13881	 575561 13094	 569519 13079	 563217 12958	 645619 14465	 646326 14468	 574152 13883	 570213 13085
1024	 797460 18014	 795706 16873	 787590 16853	 779424 16739	 897335 19041	 898281 19052	 796562 18024	 788518 16850
