# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8514    13	   9988    13	   9976    11	   8692    13	   5478  1071	   5498  1067	   8504    12	   9988    13
24  	   7631  1697	   8160  1885	   8039  1872	   7906  1705	   8333  1737	   8356  1739	   7611  1699	   8062  1872
32  	  10573  2261	  11144  2450	  10962  2411	  10896  2263	  11554  2264	  11585  2269	  10545  2257	  10992  2415
48  	  17681  1880	  18318  1975	  18013  1959	  18059  1847	  19191  1946	  19236  1950	  17639  1880	  18057  1961
64  	  25210  2446	  25806  2506	  25365  2469	  25595  2414	  27252  2517	  27312  2523	  25156  2446	  25424  2471
96  	  41065  3066	  41512  3061	  40818  3009	  41351  2993	  44178  3228	  44268  3236	  40981  3064	  40904  3014
128 	  58006  3574	  58171  3475	  57219  3420	  58074  3428	  62210  3884	  62330  3892	  57893  3574	  57334  3423
192 	  93713  4580	  93167  4341	  91716  4271	  93161  4368	 100114  4990	 100292  4996	  93547  4579	  91888  4274
256 	 131806  5906	 130329  5487	 128352  5407	 130446  5517	 140276  6566	 140513  6575	 131588  5906	 128580  5417
384 	 212156  8118	 208381  7440	 205377  7358	 208695  7438	 225110  9323	 225463  9335	 211829  8117	 205723  7367
512 	 296449 10330	 289908  9375	 285881  9282	 290447  9385	 313865 12046	 314342 12056	 296016 10329	 286339  9287
768 	 473322 14812	 460424 13122	 454358 13038	 461368 13076	 499746 17707	 500453 17709	 472669 14811	 455044 13038
1024	 658829 19112	 639003 17146	 630870 17035	 640455 17113	 693533 22746	 694483 22750	 657963 19115	 631789 17048
