# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5132   617	   5943   739	   5932   737	   5310   618	   5719   604	   5740   601	   5122   617	   5943   738
24  	   9230   948	  10052   994	   9932   987	   9507   954	   9927  1067	   9951  1068	   9209   952	   9953   987
32  	  13321  1100	  14381  1139	  14195  1132	  13658  1115	  14404  1154	  14435  1155	  13292  1101	  14226  1131
48  	  22322  1445	  23745  1471	  23437  1465	  22702  1439	  24266  1555	  24312  1558	  22281  1448	  23481  1463
64  	  31812  1710	  33563  1748	  33125  1737	  32189  1694	  34783  1843	  34844  1847	  31755  1711	  33182  1735
96  	  52315  2304	  54594  2289	  53898  2276	  52591  2256	  57486  2506	  57576  2511	  52231  2305	  53985  2274
128 	  73840  2935	  76561  2881	  75608  2860	  73911  2853	  81410  3110	  81529  3115	  73729  2941	  75724  2860
192 	 119417  4103	 122745  3963	 121280  3955	 118850  3904	 132211  4399	 132393  4404	 119250  4105	 121455  3955
256 	 167372  5079	 171216  4986	 169238  4977	 166005  4898	 185807  5325	 186040  5328	 167153  5085	 169467  4973
384 	 268623  8112	 272889  7713	 269882  7704	 265146  7650	 299159  8511	 299516  8510	 268296  8121	 270224  7704
512 	 373393  9344	 377784  9084	 373747  9069	 367489  8933	 416820  9692	 417294  9694	 372955  9349	 374211  9068
768 	 595620 15088	 599114 14102	 593013 14071	 583829 14060	 666428 15617	 667144 15622	 594963 15082	 593702 14069
1024	 825130 19193	 827505 18121	 819376 18077	 806944 18081	 925200 19716	 926149 19720	 824261 19191	 820295 18085
