# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4239   500	   4228   501	   4228   501	   4250   501	   4512   403	   4534   401	   4228   501	   4240   501
24  	   7757   799	   7762   797	   7735   801	   7894   832	   7747   810	   7770   812	   7735   801	   7744   798
32  	  11126   933	  11144   932	  11096   932	  11328   977	  11232   970	  11264   977	  11097   933	  11106   930
48  	  18493  1189	  18529  1188	  18450  1191	  18826  1234	  18884  1242	  18928  1248	  18451  1191	  18460  1187
64  	  25980  1353	  26039  1358	  25923  1350	  26441  1400	  26729  1432	  26787  1440	  25922  1352	  25931  1349
96  	  42488  1913	  42591  1918	  42402  1913	  43223  1972	  44173  2084	  44263  2094	  42401  1913	  42408  1910
128 	  59293  2148	  59441  2156	  59180  2148	  60295  2207	  62027  2389	  62141  2399	  59177  2148	  59185  2142
192 	  94509  2825	  94744  2834	  94341  2820	  96026  2892	  99595  3217	  99769  3224	  94342  2822	  94344  2818
256 	 131285  3472	 131614  3488	 131062  3471	 133323  3549	 139190  4050	 139424  4061	 131062  3470	 131066  3470
384 	 207858  5099	 208353  5115	 207518  5090	 210924  5170	 221770  6048	 222113  6054	 207522  5095	 207523  5095
512 	 286746  6662	 287419  6681	 286297  6660	 290828  6729	 307535  8094	 307994  8100	 286297  6659	 286305  6659
768 	 451046  9656	 452054  9685	 450367  9655	 457172  9729	 486625 11853	 487313 11863	 450370  9655	 450374  9650
1024	 618359 11797	 619683 11815	 617459 11784	 626417 11899	 669724 14610	 670619 14622	 617461 11784	 617462 11780
