# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4005   819	   3994   819	   3994   819	   3678   690	   4501   546	   4527   545	   3994   819	   4005   819
24  	   7125  1101	   7108  1082	   7104  1104	   7085  1096	   6701   978	   6731   983	   7103  1103	   7113  1101
32  	  10283  1469	  10272  1472	  10255  1469	  10279  1523	   9715  1346	   9755  1354	  10255  1468	  10264  1465
48  	  16935  1919	  16932  1931	  16893  1918	  17105  1971	  16046  1788	  16109  1795	  16892  1918	  16900  1915
64  	  24527  2263	  24552  2291	  24473  2263	  24828  2310	  23374  2139	  23463  2147	  24473  2262	  24480  2258
96  	  39375  3040	  39388  3101	  39291  3038	  40060  3111	  37608  2886	  37740  2899	  39291  3039	  39298  3032
128 	  55480  3513	  55530  3631	  55372  3511	  56492  3575	  53204  3424	  53380  3438	  55370  3510	  55375  3505
192 	  89409  4904	  89481  5121	  89241  4903	  91221  5015	  85967  4894	  86236  4908	  89243  4901	  89239  4897
256 	 125932  5820	 125986  6156	 125712  5821	 128435  5915	 121321  5923	 121677  5941	 125713  5819	 125705  5814
384 	 202027  8467	 202198  8919	 201698  8471	 206105  8603	 195203  8629	 195739  8644	 201700  8468	 201689  8461
512 	 282638 10921	 282599 11704	 282195 10918	 288276 11090	 273290 11432	 274008 11454	 282193 10920	 282181 10910
768 	 450628 15296	 451008 16480	 449970 15295	 459367 15451	 437078 16196	 438158 16218	 449974 15290	 449934 15290
1024	 627461 20575	 627647 22354	 626584 20582	 639323 20783	 609017 22055	 610465 22086	 626583 20580	 626537 20571
