# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5413   740	   5403   740	   5404   740	   4856   620	   5207   518	   5235   517	   5403   740	   5414   740
24  	   9700  1001	   9691  1006	   9678  1003	   9282   967	   9151   945	   9182   949	   9678  1003	   9688  1000
32  	  14015  1116	  14012  1123	  13987  1116	  13478  1111	  13294  1051	  13334  1054	  13987  1118	  13996  1115
48  	  23736  1508	  23738  1539	  23694  1508	  22994  1493	  22637  1420	  22700  1424	  23693  1508	  23702  1506
64  	  33864  1785	  33878  1835	  33805  1784	  32924  1762	  32431  1729	  32515  1734	  33807  1784	  33815  1783
96  	  55541  2380	  55557  2435	  55457  2382	  54187  2348	  53458  2284	  53586  2288	  55454  2383	  55462  2379
128 	  78383  2943	  78368  3056	  78270  2940	  76596  2912	  75687  2916	  75859  2926	  78269  2943	  78276  2942
192 	 126997  3916	 127075  4171	 126824  3919	 124410  3860	 123237  3950	 123500  3959	 126830  3919	 126832  3915
256 	 177676  5290	 177772  5747	 177449  5292	 174334  5234	 172917  5538	 173274  5555	 177448  5290	 177454  5284
384 	 285161  7449	 285271  7963	 284821  7450	 280184  7429	 278492  7758	 279017  7775	 284821  7450	 284828  7450
512 	 397237  9593	 397290 10310	 396794  9589	 390688  9594	 388762  9998	 389468 10005	 396793  9595	 396783  9590
768 	 632723 14289	 632655 15040	 632047 14287	 622980 14300	 620914 14792	 621975 14798	 632041 14297	 632031 14283
1024	 877115 17296	 877909 18707	 876204 17290	 864187 17336	 863376 18334	 864806 18348	 876204 17293	 876190 17285
