# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9998    10	   9988    13	   9988    13	   8692    13	   5390  1099	   5415  1095	   9988    13	   9999    11
24  	   8609  1908	   8609  1916	   8587  1910	   8389  1740	   8189  1741	   8219  1746	   8587  1909	   8596  1906
32  	  11857  2508	  11856  2523	  11829  2504	  11668  2347	  11310  2266	  11352  2273	  11829  2505	  11837  2504
48  	  19620  2052	  19616  2119	  19579  2054	  19472  1967	  18767  1933	  18830  1941	  19579  2053	  19587  2050
64  	  27774  2681	  27758  2793	  27717  2680	  27732  2610	  26638  2551	  26724  2564	  27717  2679	  27724  2676
96  	  44945  3316	  44927  3464	  44860  3316	  45049  3278	  43225  3174	  43357  3190	  44861  3315	  44867  3312
128 	  62917  3791	  62942  4133	  62807  3791	  63198  3772	  60730  3857	  60908  3874	  62804  3791	  62808  3786
192 	 101257  4855	 101335  5341	 101092  4850	 101839  4891	  98028  5035	  98295  5054	 101090  4849	 101093  4848
256 	 141803  6222	 141841  6974	 141583  6222	 142737  6237	 137438  6673	 137793  6692	 141582  6219	 141581  6212
384 	 227455  8289	 227720  9460	 227121  8287	 229002  8297	 221140  9144	 221685  9163	 227123  8286	 227109  8282
512 	 316439 10876	 316745 12673	 315992 10878	 318625 10819	 307986 12242	 308704 12267	 315992 10877	 315979 10875
768 	 503440 15553	 503749 18395	 502775 15551	 507016 15458	 490688 17863	 491765 17895	 502777 15552	 502747 15541
1024	 698656 18400	 698915 22081	 697776 18391	 703479 18220	 681507 21513	 682950 21543	 697778 18391	 697724 18386
