# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1732     7	   1728     2	   1728     2	   1748     6	   3343    77	   3369    77	   1728     2	   1732     8
24  	   5452   995	   5435   991	   5431   996	   5642  1061	   5133   896	   5164   902	   5430   996	   5439   993
32  	   8071  1507	   8058  1508	   8042  1502	   8348  1597	   7629  1367	   7669  1376	   8042  1503	   8051  1501
48  	  14477  1905	  14478  1913	  14433  1902	  14953  2004	  13716  1757	  13780  1768	  14434  1903	  14442  1900
64  	  21243  2194	  21259  2204	  21187  2192	  21927  2305	  20212  2041	  20300  2052	  21188  2191	  21195  2186
96  	  35933  2979	  35953  3026	  35847  2979	  37012  3110	  34288  2826	  34420  2841	  35848  2978	  35853  2973
128 	  51335  3580	  51387  3717	  51228  3578	  52807  3716	  49164  3494	  49341  3511	  51227  3579	  51228  3573
192 	  84742  4847	  84794  5030	  84576  4845	  87006  4997	  81336  4806	  81603  4823	  84576  4846	  84576  4842
256 	 120280  5915	 120340  6214	 120060  5918	 123358  6078	 115701  6001	 116057  6021	 120062  5918	 120056  5911
384 	 195416  8860	 195487  9195	 195088  8856	 200076  9037	 188434  8892	 188971  8916	 195086  8852	 195077  8846
512 	 274745 10894	 274809 11710	 274300 10893	 280987 11076	 265411 11450	 266125 11478	 274305 10892	 274283 10889
768 	 441325 15352	 441774 16543	 440670 15350	 450768 15534	 427605 16288	 428686 16304	 440664 15348	 440631 15341
1024	 617235 20546	 617663 22310	 616349 20540	 629888 20723	 598643 22057	 600085 22088	 616358 20543	 616303 20531
