# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3923   499	   3912   499	   3902   499	   3913   499	   3996   448	   4015   446	   3913   499	   3912   499
24  	   6876   781	   6695   726	   6618   736	   6836   775	   7102   833	   7125   834	   6859   791	   6638   733
32  	   9908   943	   9588   845	   9467   858	   9798   908	  10419  1012	  10450  1015	   9885   954	   9495   853
48  	  16769  1330	  16101  1171	  15895  1188	  16462  1252	  17988  1467	  18036  1473	  16736  1345	  15935  1182
64  	  23903  1714	  22856  1519	  22561  1534	  23362  1614	  26031  2040	  26098  2048	  23859  1728	  22617  1527
96  	  39503  2485	  37509  2157	  37037  2160	  38300  2251	  43440  2857	  43537  2866	  39434  2494	  37118  2156
128 	  55865  3288	  52816  2851	  52174  2852	  53916  2951	  61934  3849	  62066  3859	  55777  3300	  52284  2851
192 	  91158  4962	  85743  4209	  84755  4213	  87424  4307	 102024  5761	 102217  5771	  91024  4973	  84915  4211
256 	 127889  5818	 119873  4882	 118523  4876	 122129  4982	 143709  6815	 143964  6827	 127708  5823	 118745  4877
384 	 205373  9230	 191859  7802	 189806  7802	 195271  7903	 232836 11084	 233220 11099	 205094  9240	 190136  7803
512 	 287825 12600	 268016 10539	 265262 10540	 272589 10649	 327311 14781	 327816 14796	 287451 12607	 265707 10539
768 	 459960 18298	 427005 15441	 422845 15442	 433919 15531	 526451 21798	 527215 21807	 459396 18309	 423507 15438
1024	 640803 24939	 593479 20634	 587926 20650	 602714 20711	 735749 28895	 736756 28904	 640064 24951	 588806 20649
