# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7004    10	   6993    12	   6982    10	   6993    12	   4497  1127	   4516  1122	   6993    12	   6993    13
24  	   6348  1533	   6154  1471	   6080  1481	   6308  1527	   6642  1524	   6667  1526	   6335  1542	   6099  1476
32  	   8699  1998	   8341  1874	   8230  1871	   8581  1970	   9268  2050	   9300  2055	   8682  2010	   8254  1868
48  	  14078  1876	  13372  1732	  13179  1740	  13758  1821	  15226  2039	  15274  2045	  14052  1888	  13216  1734
64  	  19948  2387	  18803  2184	  18530  2189	  19351  2305	  21755  2725	  21817  2733	  19915  2405	  18579  2184
96  	  32445  2971	  30344  2679	  29901  2683	  31194  2814	  35658  3518	  35753  3526	  32393  2987	  29976  2677
128 	  45917  3736	  42708  3333	  42107  3339	  43879  3494	  50664  4499	  50789  4510	  45850  3758	  42203  3332
192 	  74529  5238	  68859  4622	  67927  4619	  70658  4791	  82550  6376	  82736  6386	  74425  5258	  68074  4612
256 	 104956  6867	  96595  6062	  95337  6066	  99030  6268	 116560  8532	 116812  8544	 104822  6891	  95534  6058
384 	 168666  9530	 154567  8562	 152649  8557	 158223  8747	 188270 12597	 188654 12611	 168461  9549	 152940  8553
512 	 236045 13068	 215716 11539	 213156 11548	 220640 11752	 264123 16930	 264626 16947	 235773 13096	 213542 11540
768 	 377593 19750	 343320 17249	 339465 17245	 350771 17465	 421980 25071	 422738 25089	 377191 19764	 340041 17241
1024	 524904 23234	 476396 21004	 471213 20989	 486403 21231	 588185 32266	 589199 32280	 524370 23262	 471985 20981
