# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3480   690	   3972   819	   3961   819	   3656   689	   4258   609	   4288   608	   3469   690	   3972   819
24  	   6116  1172	   6570  1210	   6495  1226	   6573  1241	   6661  1322	   6703  1330	   6102  1188	   6515  1220
32  	   8834  1519	   9406  1530	   9294  1535	   9492  1620	   9754  1761	   9809  1775	   8817  1533	   9320  1530
48  	  14694  2149	  15447  2149	  15247  2144	  15728  2253	  16394  2520	  16485  2538	  14670  2167	  15283  2138
64  	  21245  2674	  22242  2670	  21941  2637	  22647  2763	  23886  3148	  24007  3166	  21209  2689	  21991  2632
96  	  34747  3721	  36064  3707	  35614  3747	  36936  3904	  39428  4641	  39619  4665	  34696  3741	  35687  3742
128 	  49754  4711	  51463  4692	  50878  4689	  52755  4848	  56853  5851	  57110  5876	  49690  4733	  50973  4683
192 	  80841  6800	  83197  6779	  82304  6768	  85405  6958	  92940  8528	  93330  8553	  80745  6817	  82446  6763
256 	 114977  8870	 118079  8816	 116769  8826	 121009  9073	 132552 11279	 133077 11307	 114846  8894	 116963  8819
384 	 186181 12732	 190616 12707	 188750 12689	 195393 12892	 215882 16386	 216673 16410	 185978 12746	 189043 12687
512 	 262390 17563	 268149 17513	 265520 17423	 274599 17666	 304881 22315	 305937 22344	 262130 17578	 265906 17418
768 	 420400 24635	 428823 24578	 424850 24659	 438762 24899	 490094 32198	 491682 32220	 420000 24656	 425427 24652
1024	 591233 34162	 602300 34096	 597141 33770	 615967 34053	 691167 43668	 693298 43697	 590705 34191	 597907 33767
