# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5110   617	   5921   738	   5910   738	   5287   617	   5493   691	   5523   687	   5100   617	   5920   738
24  	   8751  1040	   9660  1098	   9583  1112	   9213  1089	   9637  1183	   9679  1190	   8737  1055	   9602  1105
32  	  12732  1318	  13960  1346	  13826  1367	  13371  1392	  14173  1541	  14231  1552	  12717  1336	  13851  1357
48  	  21211  1770	  23051  1790	  22840  1810	  22235  1861	  23955  2168	  24045  2184	  21186  1789	  22874  1802
64  	  30307  2240	  32757  2271	  32494  2348	  31752  2383	  34608  2888	  34730  2903	  30272  2262	  32542  2337
96  	  50015  3259	  53704  3256	  53294  3302	  52246  3400	  57702  4182	  57892  4203	  49963  3284	  53368  3293
128 	  70706  4261	  75587  4285	  74979  4326	  73694  4362	  82051  5461	  82308  5477	  70636  4283	  75078  4317
192 	 114520  6312	 121856  6336	 120884  6320	 118996  6376	 133814  7977	 134205  7995	 114422  6339	 121029  6306
256 	 161070  8100	 170892  8090	 169564  8046	 167077  8145	 189176 10384	 189700 10406	 160937  8122	 169760  8037
384 	 259585 12433	 274221 12407	 272277 12363	 268750 12506	 307081 15926	 307878 15954	 259377 12449	 272574 12352
512 	 363022 15939	 382581 15911	 379890 16247	 375179 16392	 431002 21279	 432061 21310	 362758 15960	 380272 16241
768 	 580156 24924	 609512 24919	 606049 24842	 599058 24954	 693580 32113	 695182 32139	 579759 24958	 606628 24836
1024	 804619 32612	 843661 32632	 838837 32625	 829691 32634	 964646 41896	 966775 41906	 804087 32628	 839610 32608
