# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2975   560	   2965   560	   2954   561	   2965   561	   3706   480	   3630   459	   2965   561	   2965   561
24  	   5054   917	   5069   901	   4981   915	   5209   977	   5832  1191	   5661  1104	   5236  1000	   5000   908
32  	   7175  1153	   7208  1142	   7070  1141	   7417  1238	   8596  1602	   8268  1461	   7515  1282	   7096  1137
48  	  11693  1557	  11765  1548	  11529  1543	  12115  1657	  14521  2205	  13826  1993	  12409  1745	  11565  1538
64  	  16723  1958	  16833  1949	  16498  1940	  17321  2067	  21208  2790	  20083  2513	  17874  2195	  16546  1936
96  	  26830  2750	  27015  2738	  26483  2731	  27781  2885	  34785  4062	  32692  3612	  28962  3129	  26555  2722
128 	  38047  3449	  38310  3442	  37576  3427	  39355  3590	  49999  5280	  46790  4632	  41311  3977	  37672  3420
192 	  61205  4710	  61618  4699	  60487  4683	  63224  4870	  81577  7402	  75935  6429	  66923  5476	  60632  4677
256 	  86260  6328	  86831  6318	  85297  6298	  88986  6516	 115774  9908	 107493  8607	  94641  7341	  85489  6291
384 	 137896  8392	 138771  8384	 136447  8364	 142017  8543	 187178 13417	 173031 11516	 152195  9776	 136737  8363
512 	 192686 11695	 193874 11687	 190745 11669	 198218 11865	 263038 18956	 242601 16255	 213331 13762	 191139 11662
768 	 308999 17249	 310783 17234	 306075 17220	 317376 17422	 425140 28744	 390855 24471	 343593 20544	 306660 17214
1024	 431548 22574	 433940 22560	 427636 22554	 442827 22744	 596108 37994	 547134 32289	 480957 27062	 428417 22543
