# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7005     9	   6993    12	   6982    10	   6993    12	   4841  1098	   4765  1083	   6993    12	   6993    12
24  	   6155  1483	   6169  1477	   6080  1480	   6308  1527	   7262  1592	   7089  1525	   6338  1543	   6099  1477
32  	   8335  1886	   8368  1884	   8230  1871	   8582  1971	  10258  2207	   9926  2074	   8681  2011	   8255  1868
48  	  13322  1751	  13396  1742	  13159  1742	  13736  1825	  16939  2267	  16256  2067	  14022  1920	  13195  1738
64  	  18768  2268	  18878  2256	  18542  2253	  19363  2368	  24355  3133	  23236  2822	  19914  2548	  18591  2249
96  	  30375  2709	  30560  2695	  30026  2692	  31328  2826	  40236  4099	  38128  3603	  32523  3141	  30098  2685
128 	  42646  3473	  42911  3469	  42173  3452	  43953  3622	  57018  5284	  53837  4645	  45878  4029	  42270  3446
192 	  68726  4659	  69137  4645	  68015  4637	  70742  4803	  93117  7742	  87469  6657	  74453  5600	  68158  4630
256 	  96089  6254	  96655  6239	  95125  6224	  98831  6439	 131171 10379	 122835  8924	 104531  7505	  95320  6215
384 	 153568  8778	 154440  8768	 152121  8747	 157685  8957	 211012 15053	 196955 12846	 167772 10703	 152413  8744
512 	 214774 11202	 215944 11186	 212832 11173	 220333 11368	 296998 19715	 276434 16702	 235548 13785	 213223 11168
768 	 341004 16530	 342777 16507	 338091 16506	 349389 16716	 473852 29677	 439911 25014	 375272 20524	 338668 16494
1024	 475628 21377	 478015 21356	 471726 21352	 486924 21558	 663496 38529	 614713 32455	 524841 26607	 472494 21344
