# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4288   496	   4278   498	   4268   496	   4278   497	   4674   524	   4598   499	   4278   496	   4278   497
24  	   7219   803	   7235   786	   7145   803	   7377   849	   8213  1036	   8039   956	   7405   872	   7163   796
32  	  10385   990	  10420   972	  10282   989	  10632  1059	  12171  1400	  11850  1268	  10721  1104	  10305   981
48  	  17115  1317	  17187  1300	  16949  1313	  17532  1396	  20805  1904	  20118  1700	  17819  1482	  16986  1306
64  	  24278  1617	  24390  1596	  24052  1613	  24874  1699	  30186  2418	  29062  2127	  25430  1847	  24102  1604
96  	  39606  2377	  39790  2354	  39260  2370	  40540  2481	  50428  3731	  48330  3238	  41741  2779	  39332  2360
128 	  55781  2999	  56039  2976	  55312  2993	  57090  3095	  72031  4726	  68872  4059	  58990  3510	  55407  2981
192 	  89973  4396	  90383  4373	  89258  4391	  91986  4498	 118496  7028	 112864  6002	  95683  5191	  89405  4381
256 	 125884  5640	 126453  5612	 124921  5630	 128620  5750	 167850  9176	 159484  7795	 134355  6681	 125117  5619
384 	 201177  8183	 202043  8162	 199727  8175	 205332  8289	 271819 12805	 257670 10903	 215488  9522	 200020  8165
512 	 279849 11389	 281021 11378	 277917 11381	 285414 11498	 381550 18520	 361100 15694	 300511 13575	 278305 11374
768 	 445932 16625	 447719 16593	 443002 16619	 454310 16727	 615643 26695	 581141 22653	 480730 19722	 443587 16606
1024	 617281 22061	 619691 22041	 613374 22064	 628503 22123	 857445 35319	 808653 29900	 666475 26047	 614148 22052
