# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5391   740	   5381   740	   5370   740	   4813   619	   5146   680	   5270   698	   4647   619	   5381   740
24  	   9084  1066	   8919  1027	   8827  1034	   8508   990	   9136  1113	   9358  1186	   8247   993	   8847  1030
32  	  13101  1265	  12809  1214	  12664  1229	  12300  1201	  13336  1266	  13725  1363	  11996  1209	  12692  1223
48  	  22158  1771	  21530  1671	  21282  1685	  20840  1690	  22865  1780	  23661  1942	  20519  1732	  21321  1679
64  	  31657  2371	  30612  2179	  30260  2194	  29747  2214	  32956  2511	  34243  2802	  29491  2341	  30315  2187
96  	  52332  3335	  50433  3089	  49871  3097	  49156  3132	  54980  3435	  57267  3855	  49064  3312	  49953  3089
128 	  74149  4614	  71217  4239	  70443  4246	  69626  4273	  78271  4712	  81749  5306	  69857  4584	  70553  4241
192 	 120924  6643	 115725  6150	 114537  6149	 113371  6197	 128476  6742	 134515  7638	 114482  6623	 114700  6143
256 	 169821  8257	 162169  7630	 160560  7630	 159035  7695	 181381  8326	 190172  9498	 161207  8254	 160779  7625
384 	 273525 13476	 260293 12227	 257857 12237	 255684 12278	 293767 13866	 308722 15864	 260660 13457	 258185 12231
512 	 383555 18244	 364415 16699	 361117 16701	 358406 16769	 413029 18524	 434508 21215	 366455 18223	 361561 16701
768 	 612857 26223	 580652 23931	 575684 23948	 571710 23940	 663227 26688	 698959 30564	 587244 26158	 576345 23941
1024	 854847 33742	 808575 30933	 801938 30934	 796687 30940	 927357 34352	 978355 39370	 820702 33671	 802821 30930
