# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1715     6	   1700     7	   1696     2	   1700     7	   3039   208	   3162   251	   1539     6	   1700     7
24  	   5078  1036	   4900   952	   4810   959	   5100  1057	   5099  1083	   5334  1183	   4842  1062	   4828   952
32  	   7796  1698	   7470  1568	   7334  1559	   7780  1717	   7841  1756	   8253  1919	   7487  1730	   7358  1556
48  	  13851  2233	  13192  2065	  12955  2057	  13701  2218	  13912  2288	  14733  2512	  13390  2266	  12992  2052
64  	  20504  2858	  19421  2647	  19087  2629	  20136  2808	  20648  2931	  21961  3239	  19894  2891	  19135  2625
96  	  34981  3970	  32999  3650	  32464  3634	  34128  3834	  35144  4104	  37499  4570	  34069  4010	  32536  3629
128 	  51001  5383	  47947  4946	  47215  4928	  49508  5153	  51234  5559	  54797  6218	  49793  5429	  47312  4924
192 	  84983  7724	  79561  7061	  78438  7048	  81951  7279	  85386  8047	  91595  9052	  83173  7770	  78583  7043
256 	 121416  9730	 113440  8956	 111905  8938	 116667  9182	 121906 10052	 130958 11319	 119006  9778	 112100  8935
384 	 199246 13920	 185575 12895	 183250 12870	 190431 13088	 200088 14238	 215385 16047	 195630 13959	 183545 12867
512 	 281184 18611	 261433 17093	 258316 17067	 267950 17291	 282236 19353	 304159 21939	 276361 18648	 258706 17064
768 	 458030 28293	 424865 25834	 420145 25825	 434693 26055	 459639 29607	 496083 33615	 450804 28341	 420738 25820
1024	 643334 36652	 595904 33321	 589606 33321	 609152 33572	 645419 38732	 697208 44121	 633727 36711	 590382 33300
