# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2975   560	   2965   561	   2965   561	   2987   561	   3454   459	   3473   455	   2965   560	   2977   561
24  	   5424  1034	   5415  1009	   5410  1049	   5601  1097	   5397  1071	   5419  1070	   5411  1049	   5413  1036
32  	   7810  1344	   7806  1322	   7792  1358	   8074  1434	   7875  1414	   7905  1415	   7792  1358	   7792  1344
48  	  12916  1826	  12924  1803	  12892  1843	  13360  1929	  13230  1956	  13274  1960	  12892  1842	  12885  1827
64  	  18536  2287	  18558  2263	  18500  2303	  19151  2400	  19166  2470	  19228  2476	  18500  2303	  18490  2286
96  	  30038  3141	  30082  3115	  29986  3159	  31008  3273	  31404  3484	  31492  3489	  29986  3160	  29962  3140
128 	  42747  3958	  42816  3933	  42680  3978	  44083  4089	  45007  4464	  45126  4470	  42681  3980	  42645  3959
192 	  69106  5506	  69222  5485	  69002  5522	  71147  5654	  73342  6311	  73525  6323	  69001  5525	  68948  5502
256 	  97661  7235	  97822  7198	  97527  7252	 100413  7391	 104104  8327	 104344  8337	  97527  7254	  97449  7228
384 	 157168 10346	 157429 10329	 156957 10369	 161310 10508	 168653 12095	 169014 12105	 156960 10366	 156840 10348
512 	 219936 14445	 220288 14403	 219668 14472	 225512 14653	 236640 16747	 237114 16758	 219671 14470	 219500 14447
768 	 352211 20194	 352751 20162	 351811 20221	 360629 20375	 380754 24010	 381466 24015	 351807 20226	 351551 20192
1024	 492350 27300	 493068 27264	 491826 27326	 503658 27494	 533548 32188	 534501 32202	 491828 27328	 491472 27302
