# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1379     7	   1375     2	   1375     2	   1396     7	   2436   114	   2455   107	   1376     2	   1380     7
24  	   4169   886	   4160   865	   4155   900	   4345   956	   4123   927	   4146   926	   4155   901	   4159   888
32  	   6316  1417	   6311  1396	   6300  1431	   6584  1522	   6348  1487	   6379  1490	   6300  1430	   6299  1417
48  	  11088  1825	  11096  1804	  11061  1841	  11528  1935	  11342  1950	  11386  1954	  11062  1841	  11056  1825
64  	  16216  2277	  16240  2256	  16181  2290	  16827  2398	  16783  2465	  16844  2471	  16181  2291	  16170  2275
96  	  27382  3093	  27427  3070	  27330  3110	  28347  3228	  28623  3430	  28714  3438	  27330  3111	  27309  3092
128 	  39557  3996	  39621  3971	  39489  4015	  40886  4145	  41634  4501	  41755  4509	  39488  4016	  39455  3996
192 	  65604  5635	  65720  5614	  65500  5652	  67640  5787	  69645  6431	  69824  6439	  65501  5653	  65445  5632
256 	  93477  7419	  93642  7382	  93343  7444	  96235  7586	  99683  8522	  99921  8531	  93341  7443	  93263  7417
384 	 151876 10565	 152145 10551	 151667 10578	 156007 10722	 162956 12378	 163314 12388	 151671 10575	 151552 10558
512 	 214130 14496	 214474 14470	 213861 14518	 219719 14687	 230362 16866	 230835 16874	 213863 14521	 213695 14494
768 	 345188 20524	 345727 20499	 344783 20544	 353592 20687	 373054 24437	 373773 24445	 344787 20545	 344531 20520
1024	 483000 26567	 483724 26535	 482473 26596	 494290 26742	 523242 31287	 524193 31295	 482471 26595	 482120 26573
