# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4238   500	   4228   501	   4228   501	   4250   501	   4301   469	   4320   465	   4228   501	   4239   501
24  	   7494   870	   7490   854	   7478   880	   7670   917	   7504   892	   7527   894	   7478   880	   7482   871
32  	  10733  1012	  10740   998	  10709  1022	  10993  1078	  10868  1058	  10900  1063	  10709  1023	  10713  1012
48  	  17864  1411	  17887  1396	  17829  1422	  18293  1489	  18339  1504	  18389  1511	  17831  1422	  17830  1410
64  	  25270  1748	  25309  1728	  25226  1761	  25866  1831	  26150  1894	  26213  1900	  25227  1760	  25223  1746
96  	  41063  2316	  41140  2304	  40996  2328	  41989  2413	  42961  2557	  43055  2564	  40997  2328	  40988  2315
128 	  57434  2985	  57548  2978	  57340  2998	  58680  3080	  60510  3412	  60632  3421	  57339  2998	  57326  2986
192 	  92139  4159	  92332  4149	  91999  4169	  94041  4256	  97839  4783	  98020  4789	  91998  4170	  91977  4160
256 	 128227  5366	 128502  5362	 128033  5377	 130731  5447	 136946  6349	 137188  6354	 128033  5377	 128006  5366
384 	 203596  7466	 204033  7469	 203290  7478	 207334  7562	 218935  8880	 219289  8886	 203291  7477	 203257  7469
512 	 281036 10270	 281646 10269	 280624 10276	 285978 10357	 303655 12089	 304125 12092	 280625 10275	 280585 10267
768 	 442670 15617	 443611 15614	 442019 15620	 449931 15695	 481158 18411	 481852 18424	 442029 15621	 441982 15612
1024	 608434 19014	 609710 19006	 607574 19009	 617990 19085	 663973 22405	 664887 22412	 607578 19009	 607527 19002
