# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5414   740	   5404   740	   5403   740	   4856   619	   4995   663	   5020   659	   5404   740	   5414   740
24  	   9382  1091	   9362  1091	   9366  1101	   9011  1069	   8887  1053	   8917  1056	   9366  1101	   9371  1093
32  	  13586  1298	  13565  1283	  13563  1310	  13138  1323	  12915  1217	  12958  1221	  13563  1310	  13567  1301
48  	  23054  1820	  23037  1835	  23020  1836	  22468  1866	  22072  1743	  22139  1748	  23020  1836	  23020  1824
64  	  33073  2410	  33101  2518	  33029  2429	  32349  2490	  31826  2449	  31917  2455	  33031  2429	  33025  2414
96  	  54693  3362	  54690  3473	  54625  3377	  53647  3429	  52900  3357	  53039  3364	  54625  3377	  54614  3365
128 	  77536  4509	  77499  4692	  77447  4525	  76269  4588	  75239  4578	  75426  4587	  77446  4524	  77429  4514
192 	 126653  6860	 126600  7044	 126514  6872	 124772  6976	 123432  6860	 123710  6871	 126519  6875	 126486  6861
256 	 178285  8081	 178174  8572	 178103  8094	 175827  8216	 174210  8423	 174587  8436	 178104  8094	 178058  8080
384 	 286419 12714	 286456 13522	 286137 12724	 282820 12792	 281022 13345	 281588 13354	 286137 12724	 286072 12712
512 	 402434 17364	 402617 18251	 402062 17374	 397725 17451	 395828 18000	 396595 18012	 402065 17379	 401971 17367
768 	 645055 25771	 645049 26960	 644495 25782	 638129 25916	 636044 26664	 637183 26679	 644495 25780	 644355 25765
1024	 898189 32862	 898561 34733	 897458 32880	 888871 32934	 887620 34378	 889145 34398	 897463 32888	 897258 32867
