# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9998    10	   9988    13	   9988    13	   8692    13	   5679  1614	   5701  1606	   9987    13	   9999    10
24  	   8645  2173	   8624  2164	   8631  2182	   8431  1983	   8228  2001	   8259  2003	   8631  2181	   8634  2174
32  	  11852  2787	  11822  2778	  11836  2798	  11756  2689	  11322  2547	  11366  2556	  11836  2797	  11836  2786
48  	  19188  2629	  19151  2673	  19163  2642	  19208  2588	  18441  2498	  18507  2505	  19163  2642	  19158  2629
64  	  27299  3436	  27250  3541	  27266  3453	  27466  3458	  26316  3344	  26406  3356	  27266  3453	  27254  3436
96  	  44525  4240	  44453  4471	  44472  4259	  44967  4294	  43118  4260	  43255  4274	  44472  4258	  44452  4241
128 	  63051  5112	  62910  5443	  62984  5128	  63784  5205	  61154  5231	  61339  5247	  62984  5131	  62952  5112
192 	 102795  7527	 102626  8084	 102695  7547	 104091  7656	 100036  7884	 100312  7895	 102695  7548	 102639  7527
256 	 144930  9802	 144856 10635	 144799  9827	 146813  9969	 141378 10423	 141759 10438	 144795  9825	 144718  9802
384 	 233394 13760	 233126 15166	 233192 13780	 236386 13871	 228074 14884	 228634 14903	 233193 13779	 233071 13759
512 	 327106 18499	 326935 20238	 326841 18522	 331166 18684	 320161 19982	 320918 20006	 326845 18523	 326678 18499
768 	 523809 27068	 523569 30009	 523410 27090	 530102 27176	 513535 29615	 514669 29642	 523415 27096	 523157 27068
1024	 729932 35662	 729679 39848	 729393 35691	 738504 35765	 716243 39513	 717759 39530	 729395 35690	 729043 35658
