# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4200   496	   4190   496	   4213   497	   4312   497	   4182   503	   4201   498	   4212   496	   4224   496
24  	   6893   748	   6883   737	   7196   819	   7468   854	   7445   902	   7471   904	   7212   822	   7217   816
32  	   9974   928	   9968   916	  10499  1057	  10868  1112	  11021  1222	  11053  1227	  10525  1064	  10528  1055
48  	  16506  1284	  16511  1272	  17561  1489	  18126  1550	  18738  1744	  18786  1750	  17604  1496	  17604  1486
64  	  23746  1681	  23759  1667	  25421  1974	  26191  2041	  27357  2325	  27422  2333	  25481  1981	  25477  1971
96  	  38949  2337	  38980  2327	  41994  2809	  43151  2888	  45621  3366	  45717  3379	  42089  2816	  42079  2806
128 	  55270  3111	  55307  3087	  59854  3697	  61415  3785	  65380  4382	  65506  4396	  59986  3708	  59965  3694
192 	  89765  4675	  89842  4663	  97761  5576	 100100  5653	 107510  6576	 107700  6589	  97962  5584	  97929  5574
256 	 126453  6310	 126564  6295	 138197  7512	 141317  7571	 152581  8858	 152836  8871	 138468  7518	 138421  7504
384 	 203292  9857	 203471  9842	 223110 11778	 227798 11859	 247507 13859	 247888 13871	 223522 11788	 223449 11775
512 	 284402 12710	 284651 12695	 312948 15216	 319229 15294	 348188 17938	 348698 17950	 313508 15228	 313395 15215
768 	 456082 18795	 456461 18781	 503629 22462	 513029 22533	 562368 26432	 563122 26439	 504467 22465	 504294 22456
1024	 633101 24550	 633618 24535	 700185 29099	 712720 29174	 783293 34006	 784312 34014	 701305 29103	 701071 29096
