# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5774   743	   5765   744	   5787   743	   5886   743	   5222   683	   5242   681	   5787   744	   5798   744
24  	   9084  1073	   9076  1065	   9377  1120	   9707  1161	   9284  1120	   9310  1123	   9392  1123	   9399  1118
32  	  12948  1258	  12944  1241	  13457  1321	  13917  1382	  13542  1396	  13576  1402	  13481  1325	  13487  1319
48  	  21255  1708	  21261  1693	  22278  1836	  22998  1912	  22802  2031	  22852  2041	  22319  1843	  22323  1836
64  	  30151  2126	  30162  2109	  31766  2277	  32746  2359	  32878  2548	  32943  2558	  31826  2286	  31825  2277
96  	  48691  2989	  48723  2967	  51617  3225	  53097  3302	  54038  3553	  54134  3564	  51709  3233	  51705  3224
128 	  68220  3839	  68270  3822	  72599  4121	  74579  4194	  76603  4499	  76726  4508	  72723  4125	  72716  4119
192 	 109335  5689	 109422  5666	 116992  6165	 119970  6239	 124679  6767	 124860  6773	 117180  6170	 117164  6161
256 	 152213  7465	 152353  7452	 163462  8137	 167412  8209	 175442  8995	 175685  9007	 163717  8144	 163695  8135
384 	 240468 11047	 240696 11022	 259501 11997	 265392 12054	 280845 13155	 281205 13159	 259877 12000	 259848 11994
512 	 332555 14837	 332872 14819	 360078 16040	 367862 16109	 392003 17512	 392478 17519	 360583 16045	 360542 16033
768 	 522953 23186	 523469 23174	 568382 25139	 579807 25173	 623028 27456	 623719 27458	 569118 25143	 569066 25136
1024	 715711 29373	 716426 29354	 780471 32212	 795520 32276	 860107 35627	 861020 35628	 781447 32214	 781384 32211
