# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5220   617	   5210   617	   5222   617	   5942   738	   5026   587	   5044   582	   5221   617	   5232   617
24  	   8324   894	   8313   884	   8629   948	   9786  1132	   8928   998	   8951   997	   8645   951	   8651   944
32  	  11966  1086	  11958  1070	  12496  1177	  14147  1403	  13157  1283	  13186  1284	  12520  1182	  12524  1173
48  	  19638  1480	  19639  1460	  20700  1630	  23382  1930	  22233  1803	  22279  1804	  20743  1637	  20742  1627
64  	  28131  1919	  28139  1897	  29813  2139	  33615  2515	  32381  2381	  32443  2383	  29877  2145	  29872  2135
96  	  45908  2617	  45925  2591	  48962  2966	  55100  3496	  53807  3347	  53895  3350	  49057  2974	  49045  2963
128 	  64948  3536	  64983  3512	  69552  3970	  78132  4621	  76991  4457	  77110  4460	  69686  3978	  69665  3966
192 	 105052  5235	 105121  5216	 113077  5946	 126814  6921	 126261  6667	 126438  6674	 113280  5955	 113245  5944
256 	 147641  7111	 147740  7088	 159414  8038	 178577  9307	 178895  9024	 179136  9025	 159687  8048	 159639  8035
384 	 236678 11019	 236837 10990	 256536 12552	 286883 14556	 289730 14115	 290085 14119	 256948 12559	 256878 12550
512 	 330524 14172	 330733 14156	 359121 16167	 401195 18768	 407185 18228	 407662 18237	 359679 16169	 359569 16161
768 	 528760 21075	 529092 21066	 576400 23947	 643166 27667	 656599 26932	 657315 26938	 577229 23947	 577068 23942
1024	 733402 27825	 733848 27796	 800606 31380	 892268 35942	 914547 35054	 915485 35060	 801726 31383	 801500 31377
