# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3912   499	   3935   499	   3890   499	   4001   499	   3924   443	   3942   437	   3901   499	   3902   499
24  	   6864   733	   6913   702	   7090   797	   7348   839	   6996   780	   7018   778	   7114   804	   7114   796
32  	  10012   948	  10073   903	  10396  1053	  10758  1115	  10337  1039	  10365  1038	  10432  1063	  10425  1051
48  	  16783  1223	  16902  1192	  17528  1380	  18076  1461	  17688  1415	  17733  1418	  17587  1392	  17573  1379
64  	  24216  1671	  24380  1629	  25405  1914	  26140  1999	  25859  2022	  25917  2025	  25485  1929	  25464  1913
96  	  40089  2336	  40337  2288	  42325  2701	  43446  2796	  43578  2947	  43668  2951	  42449  2715	  42413  2702
128 	  57068  3153	  57398  3107	  60442  3719	  61946  3824	  62609  4167	  62725  4176	  60610  3738	  60558  3719
192 	  92787  4530	  93328  4490	  98599  5347	 100852  5459	 102907  6082	 103085  6088	  98853  5366	  98777  5345
256 	 131131  5953	 131848  5901	 139692  7097	 142664  7199	 146546  8189	 146782  8193	 140025  7111	 139927  7093
384 	 211992  9406	 213083  9358	 226653 11256	 231157 11382	 239265 13066	 239618 13075	 227158 11278	 227006 11259
512 	 297436 12237	 298903 12200	 318532 14677	 324537 14778	 337402 17151	 337879 17163	 319201 14691	 318994 14677
768 	 475310 17380	 477508 17333	 510084 20904	 519121 21018	 542684 24553	 543395 24569	 511104 20935	 510785 20898
1024	 664485 24758	 667443 24729	 714556 29896	 726588 30025	 762815 35223	 763761 35228	 715904 29918	 715484 29899
