# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5920   738	   5942   738	   5898   738	   6009   738	   5178   669	   5195   665	   5909   738	   5909   738
24  	   9848  1129	   9869  1092	  10074  1187	  10401  1239	   9133  1055	   9156  1053	  10116  1198	  10096  1184
32  	  14288  1382	  14310  1353	  14664  1482	  15126  1562	  13332  1293	  13361  1291	  14727  1497	  14693  1480
48  	  23679  1893	  23744  1876	  24433  2043	  25158  2137	  22302  1832	  22343  1832	  24535  2062	  24474  2039
64  	  34126  2453	  34194  2449	  35333  2668	  36334  2774	  32350  2368	  32406  2367	  35479  2687	  35390  2663
96  	  56002  3335	  56126  3429	  58214  3683	  59728  3813	  53502  3383	  53583  3386	  58437  3710	  58298  3680
128 	  79537  4489	  79649  4528	  82895  4923	  84942  5062	  76276  4485	  76387  4487	  83200  4951	  83008  4921
192 	 129155  6596	 129434  6844	 135035  7305	 138107  7441	 124673  6695	 124840  6698	 135494  7333	 135202  7305
256 	 181966  8914	 182359  9184	 190615  9835	 194731  9956	 176278  9170	 176503  9172	 191232  9862	 190840  9830
384 	 292617 13766	 293183 14401	 307231 15335	 313434 15473	 284616 14301	 284952 14301	 308169 15361	 307571 15334
512 	 409455 17672	 410147 18605	 430516 19706	 438827 19841	 399321 18473	 399771 18474	 431775 19734	 430963 19705
768 	 656497 26243	 657718 27459	 691722 29187	 704180 29329	 642652 27326	 643315 27331	 693610 29220	 692400 29190
1024	 911931 34644	 912796 35661	 961505 38304	 978106 38446	 893625 35511	 894512 35507	 964024 38331	 962398 38300
