# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2887   560	   2876   560	   2921   561	   3021   560	   3321   423	   3342   422	   2921   561	   2933   561
24  	   4535   646	   4533   643	   4864   701	   5107   732	   4885   736	   4910   738	   4877   703	   4887   701
32  	   6363   823	   6365   824	   6799   914	   7070   956	   6896   987	   6921   992	   6813   917	   6824   917
48  	  10393   953	  10412   950	  11366  1067	  11865  1111	  11758  1166	  11803  1171	  11400  1070	  11410  1067
64  	  14547  1287	  14573  1289	  15877  1487	  16453  1556	  16536  1651	  16587  1660	  15919  1492	  15928  1489
96  	  23689  1511	  23750  1511	  26176  1757	  27174  1823	  27559  1977	  27646  1984	  26253  1763	  26262  1760
128 	  32527  2232	  32601  2238	  35906  2626	  37074  2740	  37992  2953	  38092  2963	  35999  2636	  36007  2634
192 	  53420  2541	  53563  2543	  59410  3005	  61398  3105	  63291  3436	  63463  3445	  59576  3016	  59582  3012
256 	  72756  3851	  72927  3862	  80823  4563	  83128  4730	  86414  5178	  86613  5194	  81016  4580	  81022  4576
384 	 119753  4114	 120063  4118	 133746  4898	 137715  5009	 143646  5681	 143983  5693	 134085  4910	 134093  4909
512 	 161083  6626	 161439  6641	 179654  7868	 184139  8133	 193533  8974	 193916  8991	 180032  7887	 180033  7888
768 	 265854  7480	 266507  7484	 297753  9089	 305662  9241	 321662 10707	 322335 10717	 298439  9101	 298439  9097
1024	 355945 11972	 356674 12009	 398136 14235	 406996 14704	 431300 16239	 432061 16273	 398896 14272	 398898 14275
