# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3835   499	   3824   499	   3869   499	   3968   499	   3911   337	   3932   336	   3868   499	   3880   499
24  	   6376   573	   6376   571	   6798   597	   7037   614	   6868   624	   6892   625	   6810   599	   6821   598
32  	   9230   712	   9238   711	   9929   737	  10247   759	  10157   790	  10187   795	   9950   739	   9960   739
48  	  15461   912	  15480   911	  16848  1005	  17341  1032	  17472  1134	  17516  1141	  16883  1007	  16893  1007
64  	  22082  1075	  22117  1070	  24230  1190	  24889  1214	  25313  1368	  25373  1377	  24280  1190	  24289  1190
96  	  36212  1529	  36274  1526	  40100  1742	  41103  1774	  42256  2026	  42344  2036	  40179  1745	  40187  1743
128 	  51187  1929	  51279  1924	  56972  2210	  58318  2232	  60331  2592	  60449  2601	  57080  2213	  57090  2210
192 	  82917  2646	  83062  2643	  92888  3100	  94911  3130	  98960  3692	  99136  3699	  93054  3099	  93063  3100
256 	 116622  3498	 116826  3493	 131203  4106	 133916  4131	 140321  4908	 140556  4917	 131431  4110	 131436  4106
384 	 187024  4807	 187337  4807	 211381  5769	 215458  5803	 226989  7012	 227347  7025	 211729  5772	 211733  5772
512 	 261875  6778	 262310  6774	 296956  8078	 302415  8099	 319825  9748	 320296  9754	 297420  8081	 297427  8079
768 	 417442  9811	 418093  9804	 475325 11965	 483528 12010	 513759 14593	 514466 14600	 476041 11970	 476034 11966
1024	 580958 14198	 581834 14199	 663179 17378	 674096 17428	 718401 21203	 719337 21225	 664117 17381	 664120 17381
