# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6917     9	   6909     9	   6950    10	   7046    11	   3601     5	   3623     8	   6950    10	   6961    13
24  	   4649     8	   4648     8	   5155     8	   5373    12	   5274     8	   5293    13	   5164    12	   5178     9
32  	   6100     9	   6100     8	   6742    10	   6960    12	   6950    10	   6972     9	   6752    13	   6764     9
48  	  14729    15	  14136    14	  16381    17	  17383    16	  16357    16	  16405    18	  16459    16	  16337    15
64  	  27112    22	  25728    21	  30002    21	  32063    24	  29451    20	  29494    21	  30168    21	  29868    20
96  	  58233    29	  55257    29	  63590    31	  67765    35	  61981    33	  62023    28	  63933    32	  63280    30
128 	  97814    39	  93254    39	 105640    40	 111931    42	 102972    40	 103017    40	 106158    42	 105154    40
192 	 202372    57	 194635    54	 215130    57	 225652    57	 210350    56	 210394    59	 216001    59	 214292    55
256 	 340775    72	 329870    71	 358477    75	 373227    74	 351574    74	 351619    72	 359698    75	 357288    74
384 	 719153   103	 701897   102	 746721   107	 769940   106	 735584   105	 735635   106	 748642   109	 744826   108
512 	1232933   136	1209333   134	1270379   140	1302065   139	1255016   133	1255054   138	1273015   142	1267773   135
768 	2666733   198	2630438   203	2723909   210	2772545   215	2700099   203	2700125   206	2727965   205	2719905   202
1024	4642199   271	4593208   260	4719115   265	4784696   276	4686835   260	4686882   267	4724580   270	4713706   255
