# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4200   496	   4191   497	   4235   497	   4334   497	   4198   386	   4219   385	   4234   497	   4246   497
24  	   6877   634	   6878   634	   7291   672	   7537   695	   7358   706	   7382   708	   7304   674	   7315   672
32  	   9893   677	   9902   677	  10577   722	  10898   746	  10794   797	  10824   803	  10597   724	  10607   723
48  	  16384   954	  16406   953	  17754  1050	  18253  1080	  18369  1179	  18414  1188	  17788  1052	  17798  1051
64  	  23301  1185	  23337  1184	  25455  1328	  26134  1354	  26551  1521	  26614  1531	  25507  1331	  25515  1329
96  	  38080  1496	  38144  1496	  41924  1708	  42938  1737	  44077  1995	  44169  2005	  42004  1709	  42013  1708
128 	  53773  1999	  53864  1999	  59503  2321	  60868  2358	  62858  2729	  62979  2738	  59613  2324	  59622  2324
192 	  86759  2726	  86911  2725	  96686  3257	  98750  3296	 102762  3917	 102944  3926	  96856  3262	  96861  3263
256 	 121662  3653	 121869  3653	 136106  4316	 138861  4348	 145169  5181	 145404  5194	 136339  4319	 136342  4319
384 	 194894  5097	 195214  5096	 219204  6062	 223352  6097	 234880  7283	 235244  7290	 219559  6064	 219562  6067
512 	 271715  6646	 272148  6640	 306574  8065	 312104  8108	 329380  9790	 329851  9805	 307050  8070	 307044  8064
768 	 433564 10483	 434226 10481	 491262 12541	 499592 12570	 529733 15112	 530451 15132	 491982 12548	 491973 12544
1024	 601994 13901	 602882 13895	 683878 17018	 694980 17075	 739079 20808	 740039 20814	 684841 17029	 684829 17031
