# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1632     2	   1620     6	   1664     2	   1760     3	   3047    10	   3073     4	   1664     2	   1668     7
24  	   4119     8	   4119     8	   4369     5	   4635    10	   4369     5	   4392     8	   4378    11	   4393     8
32  	   5353     8	   5353     8	   5644    12	   5914     8	   5693    11	   5715     6	   5660    11	   5674     7
48  	  11158    12	  11179    12	  11959    13	  12569    13	  12301    13	  12346    16	  11994    15	  12008    13
64  	  14506    13	  14527    14	  15486    14	  16093    14	  16002    15	  16049    16	  15520    16	  15532    14
96  	  27823    20	  27892    17	  29997    18	  31285    19	  31284    19	  31375    20	  30073    18	  30083    19
128 	  36285    24	  36352    20	  38985    21	  40274    22	  40802    22	  40892    23	  39062    21	  39072    22
192 	  66396    28	  66549    27	  71827    29	  74485    30	  75541    30	  75716    29	  71992    29	  72004    28
256 	  86843    29	  86997    28	  93688    30	  96344    29	  98808    31	  98985    31	  93851    30	  93864    31
384 	 154056    37	 154385    37	 167070    40	 172459    39	 176686    40	 177034    39	 167412    39	 167422    39
512 	 202000    43	 202332    43	 218542    44	 223931    45	 231677    46	 232030    46	 218883    42	 218897    44
768 	 350469    58	 351154    54	 380760    56	 391624    63	 404284    64	 404988    64	 381460    56	 381470    56
1024	 460462    67	 461144    66	 499219    63	 510075    68	 531181    70	 531882    71	 499914    66	 499932    65
