# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3761   661	   3753   661	   3796   661	   3895   661	   4067   355	   4089   355	   3797   661	   3808   661
24  	   6029   672	   6029   672	   6455   662	   6719   663	   6431   629	   6452   630	   6466   662	   6476   662
32  	   8627   545	   8637   546	   9482   582	   9906   595	   9706   653	   9737   660	   9503   582	   9514   582
48  	  13630   753	  13645   754	  15024   833	  15529   872	  15546   969	  15584   978	  15051   835	  15061   836
64  	  20384   917	  20418   921	  22846  1035	  23651  1088	  23983  1119	  24038  1124	  22893  1039	  22904  1038
96  	  32993   723	  33048   723	  37364   795	  38495   814	  39633   926	  39706   932	  37430   797	  37442   796
128 	  48517  1396	  48601  1402	  55262  1656	  56835  1765	  58880  1869	  58982  1879	  55355  1663	  55366  1664
192 	  79742  1475	  79872  1479	  91484  1655	  93774  1737	  98182  1870	  98333  1877	  91627  1661	  91637  1660
256 	 114844  1748	 115038  1756	 132435  2038	 135660  2171	 142660  2328	 142872  2329	 132638  2050	 132652  2049
384 	 187791  2895	 188079  2902	 217552  3275	 222239  3440	 235296  3689	 235598  3698	 217849  3288	 217860  3284
512 	 267150  2421	 267551  2432	 310406  2851	 316813  2993	 336382  3507	 336792  3513	 310808  2861	 310825  2859
768 	 432780  5950	 433371  5976	 504704  6746	 514063  7116	 548644  7508	 549243  7537	 505301  6770	 505311  6771
1024	 610898  4219	 611713  4217	 713993  4628	 726835  4708	 777248  5911	 778076  5915	 714817  4626	 714825  4632
