# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2920   560	   2910   561	   2921   560	   3020   561	   3443   413	   3463   411	   2921   560	   2932   561
24  	   4618   654	   4617   654	   4841   688	   5085   721	   5032   729	   5056   730	   4854   691	   4864   689
32  	   6454   822	   6457   822	   6766   879	   7039   922	   7073   954	   7098   958	   6781   882	   6792   881
48  	  10558   968	  10577   967	  11281  1031	  11783  1078	  12106  1117	  12150  1120	  11317  1036	  11326  1033
64  	  14739  1286	  14765  1287	  15763  1408	  16338  1480	  16970  1565	  17021  1570	  15806  1412	  15815  1411
96  	  24018  1499	  24080  1501	  25985  1649	  26981  1720	  28299  1843	  28384  1847	  26063  1654	  26073  1652
128 	  32930  2228	  33007  2231	  35681  2480	  36848  2600	  38914  2803	  39013  2811	  35773  2490	  35780  2488
192 	  54081  2553	  54226  2560	  59025  2818	  61010  2917	  64751  3186	  64924  3195	  59190  2828	  59197  2825
256 	  73555  3835	  73728  3846	  80373  4310	  82670  4478	  88231  4894	  88427  4906	  80565  4323	  80572  4322
384 	 121058  4141	 121368  4148	 132981  4583	 136943  4693	 146483  5199	 146822  5206	 133317  4596	 133323  4592
512 	 162634  6693	 162996  6712	 178815  7490	 183301  7768	 196924  8478	 197304  8500	 179198  7516	 179203  7511
768 	 268432  7193	 269085  7203	 296282  8168	 304175  8330	 327061  9468	 327737  9480	 296965  8188	 296962  8179
1024	 358899 12009	 359635 12042	 396462 13500	 405312 13991	 437562 15337	 438326 15378	 397223 13540	 397231 13540
