# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4234   497	   4223   497	   4234   497	   4334   497	   4350   364	   4371   363	   4235   496	   4246   497
24  	   6950   637	   6951   636	   7219   655	   7466   678	   7575   683	   7598   685	   7232   658	   7243   656
32  	   9991   671	   9998   669	  10445   686	  10770   708	  11145   738	  11175   740	  10466   687	  10476   685
48  	  16520   952	  16542   949	  17458   988	  17960  1017	  19035  1060	  19081  1062	  17495   990	  17504   989
64  	  23464  1170	  23500  1167	  24965  1231	  25645  1261	  27556  1338	  27619  1341	  25015  1234	  25027  1233
96  	  38331  1516	  38394  1515	  41050  1578	  42066  1609	  45871  1717	  45962  1718	  41129  1580	  41140  1579
128 	  54158  2004	  54251  2005	  58250  2132	  59616  2169	  65587  2351	  65706  2355	  58362  2136	  58370  2134
192 	  87278  2590	  87425  2591	  94438  2814	  96501  2857	 107407  3175	 107586  3183	  94609  2817	  94615  2816
256 	 122394  3739	 122601  3738	 132872  3940	 135629  3973	 151958  4298	 152196  4304	 133109  3944	 133112  3940
384 	 196000  5211	 196322  5213	 213766  5530	 217911  5569	 246230  6094	 246584  6096	 214115  5530	 214121  5534
512 	 273231  6568	 273664  6565	 298791  7080	 304326  7124	 345673  7938	 346156  7944	 299264  7081	 299265  7080
768 	 435789 10667	 436446 10659	 478371 11420	 486692 11453	 556443 12533	 557156 12535	 479083 11421	 479074 11423
1024	 605021 13661	 605910 13666	 665650 14834	 676749 14867	 776911 16668	 777866 16673	 666610 14835	 666595 14830
