# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2795   447	   2784   448	   2797   447	   2896   447	   3461   261	   3483   261	   2797   447	   2807   447
24  	   4673   465	   4672   465	   4936   454	   5158   454	   5365   452	   5388   452	   4947   455	   4958   454
32  	   6795   390	   6805   390	   7333   410	   7672   427	   8367   475	   8400   478	   7355   411	   7366   411
48  	  10636   553	  10652   556	  11539   606	  11939   646	  13387   748	  13426   753	  11567   609	  11578   609
64  	  16042   714	  16079   716	  17641   770	  18260   814	  21081   964	  21136   969	  17688   774	  17698   774
96  	  26006   566	  26062   569	  28867   561	  29728   583	  35231   658	  35306   660	  28933   564	  28945   562
128 	  38213  1139	  38296  1146	  42634  1260	  43820  1345	  52627  1644	  52731  1653	  42729  1266	  42739  1266
192 	  62839  1253	  62971  1256	  70551  1263	  72273  1331	  88291  1500	  88443  1505	  70693  1270	  70705  1269
256 	  90607  1561	  90796  1567	 102167  1581	 104578  1676	 128986  2060	 129192  2064	 102367  1588	 102376  1584
384 	 148076  2552	 148366  2563	 167680  2543	 171179  2673	 213620  3061	 213924  3069	 167976  2554	 167990  2559
512 	 210672  2315	 211076  2318	 239176  2123	 243949  2232	 306341  2804	 306755  2811	 239582  2136	 239592  2129
768 	 341112  5264	 341698  5285	 388595  5283	 395557  5565	 501194  6386	 501802  6407	 389193  5307	 389205  5304
1024	 481710  4249	 482521  4250	 549732  3432	 559278  3492	 711732  4130	 712557  4130	 550557  3439	 550568  3434
