# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4184   501	   4173   501	   4184   501	   4284   501	   4290   370	   4311   370	   4184   500	   4195   500
24  	   6736   612	   6738   611	   7006   627	   7249   646	   7369   656	   7393   656	   7018   629	   7029   628
32  	   9663   737	   9672   737	  10120   753	  10442   781	  10834   810	  10865   810	  10140   755	  10150   754
48  	  15790   932	  15812   932	  16720   961	  17214   987	  18312  1030	  18357  1035	  16755   964	  16766   964
64  	  22356  1123	  22393  1123	  23827  1148	  24493  1175	  26433  1227	  26494  1228	  23876  1150	  23887  1149
96  	  35999  1517	  36063  1517	  38719  1578	  39718  1607	  43668  1708	  43754  1713	  38797  1580	  38807  1580
128 	  50443  1842	  50537  1842	  54553  1882	  55903  1915	  62149  2031	  62266  2033	  54664  1885	  54671  1884
192 	  80298  2556	  80449  2557	  87445  2660	  89441  2701	 100883  2895	 101057  2899	  87610  2664	  87620  2664
256 	 111637  3263	 111845  3264	 122131  3400	 124795  3440	 142091  3712	 142324  3712	 122355  3403	 122361  3403
384 	 176539  4782	 176861  4787	 194409  5001	 198404  5053	 228875  5506	 229213  5507	 194749  5008	 194752  5008
512 	 243630  6087	 244065  6095	 269559  6412	 274829  6464	 319834  7104	 320288  7109	 270006  6416	 270013  6416
768 	 383197  9228	 383860  9232	 426437  9596	 434314  9654	 511358 10497	 512033 10494	 427118  9603	 427125  9597
1024	 526339 12057	 527219 12059	 587943 12859	 598317 12919	 710155 14410	 711033 14418	 588839 12875	 588837 12863
