# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1664     1	   1651     6	   1664     2	   1760     2	   2871     9	   2896     4	   1664     2	   1668     7
24  	   3911     8	   3911     8	   4088     8	   4482     6	   4058    11	   4088     8	   4225     6	   4105    10
32  	   5052    11	   5052    11	   5273     8	   5715     8	   5251     8	   5274     9	   5459     8	   5292    12
48  	  10208    11	  10232    15	  10827    12	  11960    13	  11170    12	  11213    13	  11388    13	  10871    14
64  	  13206    14	  13231    16	  14001    14	  15309    14	  14430    14	  14477    13	  14737    15	  14044    13
96  	  24889    18	  24952    18	  26651    19	  29521    19	  27983    20	  28073    20	  28309    18	  26738    19
128 	  32292    21	  32356    20	  34584    21	  37983    22	  36269    24	  36359    21	  36771    21	  34670    21
192 	  58429    29	  58582    27	  63011    29	  69891    31	  66858    30	  67033    29	  67402    29	  63189    30
256 	  76059    34	  76212    33	  82055    33	  90339    34	  86958    36	  87133    34	  87850    34	  82229    34
384 	 133928    42	 134260    42	 145212    45	 161159    45	 155146    44	 155497    44	 156111    46	 145567    44
512 	 174832    48	 175161    46	 189642    49	 209109    50	 202396    52	 202746    53	 204061    51	 189994    47
768 	 301810    62	 302497    64	 328613    67	 364807    68	 352827    68	 353534    68	 354652    67	 329316    66
1024	 394899    75	 395585    71	 430164    78	 474803    79	 461434    77	 462142    79	 464644    77	 430868    75
