# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3912   499	   3934   499	   3902   499	   4000   499	   3988   337	   4009   336	   3902   499	   3912   498
24  	   6962   601	   6889   586	   7027   615	   7237   633	   6939   610	   6963   612	   7039   616	   7051   616
32  	  10164   744	  10001   720	  10240   756	  10523   782	  10190   757	  10220   760	  10259   759	  10269   757
48  	  17247   981	  16833   944	  17361  1023	  17794  1058	  17501  1058	  17545  1065	  17396  1025	  17406  1025
64  	  24776  1120	  24075  1082	  24941  1198	  25518  1230	  25363  1278	  25422  1284	  24991  1200	  25001  1199
96  	  40949  1620	  39564  1548	  41221  1757	  42093  1798	  42349  1930	  42436  1938	  41300  1760	  41311  1756
128 	  58158  2021	  55970  1918	  58497  2207	  59662  2242	  60454  2489	  60569  2496	  58606  2209	  58616  2209
192 	  94702  2867	  90718  2638	  95223  3102	  96967  3147	  99159  3576	  99330  3585	  95389  3107	  95398  3105
256 	 133615  3742	 127637  3449	 134354  4098	 136691  4141	 140584  4787	 140818  4795	 134586  4103	 134591  4102
384 	 215223  5192	 204755  4747	 216152  5769	 219649  5819	 227383  6876	 227732  6883	 216494  5772	 216505  5772
512 	 302026  7302	 286694  6620	 303359  8066	 308050  8103	 320343  9617	 320810  9620	 303823  8062	 303833  8060
768 	 482864 10493	 457077  9624	 484979 11974	 492009 12033	 514527 14461	 515233 14475	 485689 11973	 485687 11975
1024	 673139 15089	 635982 13916	 676048 17370	 685401 17435	 719439 21031	 720376 21042	 676989 17371	 676981 17374
