# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4277   496	   4300   497	   4267   497	   4366   496	   4275   387	   4295   385	   4267   496	   4279   496
24  	   7462   676	   7383   658	   7527   695	   7743   718	   7425   687	   7448   689	   7540   697	   7551   696
32  	  10822   710	  10651   691	  10893   740	  11179   770	  10826   755	  10856   758	  10912   742	  10923   742
48  	  18150  1015	  17731   977	  18273  1068	  18714  1106	  18393  1108	  18439  1113	  18307  1071	  18318  1070
64  	  25995  1262	  25281  1206	  26186  1335	  26780  1373	  26589  1418	  26649  1426	  26236  1337	  26246  1336
96  	  42766  1605	  41360  1512	  43047  1717	  43930  1759	  44140  1894	  44229  1900	  43128  1722	  43136  1720
128 	  60707  2164	  58463  2022	  61043  2336	  62226  2383	  62954  2621	  63073  2629	  61154  2340	  61163  2339
192 	  98473  2843	  94461  2729	  99053  3264	 100833  3316	 102918  3782	 103096  3790	  99222  3266	  99231  3267
256 	 138561  3933	 132514  3608	 139299  4316	 141671  4363	 145400  5048	 145635  5057	 139526  4316	 139537  4316
384 	 222922  5515	 212398  5041	 224029  6059	 227601  6116	 235193  7156	 235550  7162	 224381  6064	 224387  6066
512 	 311598  7049	 296213  6558	 313046  8074	 317802  8132	 329826  9665	 330300  9678	 313520  8080	 313517  8077
768 	 498789 11329	 472700 10258	 501022 12524	 508177 12572	 530386 14945	 531098 14948	 501736 12526	 501724 12522
1024	 693997 14703	 656379 13615	 696917 17025	 706442 17082	 739959 20649	 740914 20659	 697871 17014	 697855 17025
