# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1699     7	   1728     2	   1696     2	   1796     7	   2935     9	   2961     4	   1696     2	   1700     7
24  	   4426    10	   4482     6	   4578     6	   4825     8	   4170    11	   4193     5	   4602    11	   4603    11
32  	   5661    11	   5715     7	   5859     8	   6100     9	   5404    12	   5427     8	   5882     9	   5882     9
48  	  11928    13	  12063    14	  12511    16	  13052    17	  11421    14	  11466    16	  12580    12	  12558    13
64  	  15277    15	  15410    15	  16037    18	  16579    17	  14770    15	  14818    18	  16104    15	  16083    16
96  	  29524    20	  29822    20	  31231    21	  32362    21	  28524    22	  28612    21	  31386    21	  31316    21
128 	  37984    23	  38284    24	  40220    24	  41352    24	  36987    25	  37075    23	  40375    24	  40306    24
192 	  69947    31	  70587    31	  74426    32	  76750    33	  67974    32	  68150    33	  74756    33	  74602    31
256 	  90396    35	  91036    38	  96281    36	  98609    37	  88427    39	  88605    36	  96613    37	  96457    36
384 	 161319    48	 162657    48	 172401    48	 177103    49	 157406    47	 157760    48	 173082    49	 172752    47
512 	 209272    53	 210602    55	 223868    56	 228569    55	 205362    56	 205712    55	 224553    55	 224220    51
768 	 365161    73	 367891    72	 391555    71	 401016    74	 357387    73	 358090    72	 392940    73	 392260    73
1024	 475162    84	 477894    80	 509999    84	 519465    83	 467401    80	 468107    83	 511389    83	 510709    81
