# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3839   660	   3862   661	   3830   661	   3929   660	   3914   373	   3937   373	   3830   661	   3841   661
24  	   6494   673	   6547   658	   6664   663	   6901   663	   6161   658	   6182   658	   6686   662	   6686   662
32  	   9504   572	   9578   594	   9815   585	  10202   604	   9100   610	   9131   615	   9858   586	   9849   586
48  	  14905   821	  15005   871	  15423   861	  15887   906	  14507   917	  14544   924	  15476   867	  15461   863
64  	  22611  1039	  22761  1087	  23538  1090	  24262  1138	  22334  1099	  22388  1104	  23629  1096	  23595  1093
96  	  36724   761	  36915   863	  38365   807	  39376   831	  36679   874	  36754   879	  38499   810	  38444   809
128 	  54165  1648	  54469  1782	  56693  1761	  58090  1860	  54400  1786	  54502  1795	  56884  1776	  56798  1769
192 	  89255  1642	  89666  1740	  93624  1738	  95650  1814	  90447  1770	  90596  1774	  93907  1748	  93775  1742
256 	 128974  2039	 129569  2251	 135481  2169	 138330  2282	 131138  2206	 131350  2212	 135888  2185	 135697  2176
384 	 211117  3253	 211942  3422	 222046  3445	 226172  3591	 215730  3383	 216035  3398	 222639  3466	 222354  3457
512 	 300807  2721	 301945  3398	 316611  2991	 322233  3124	 308094  3351	 308508  3359	 317426  3014	 317032  2998
768 	 487716  6764	 489457  7010	 513846  7118	 522048  7444	 501486  6880	 502089  6904	 515043  7163	 514454  7140
1024	 689348  4330	 691564  5532	 726590  4715	 737828  4789	 709753  5527	 710576  5527	 728236  4728	 727426  4726
