# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5851   743	   5875   744	   5842   743	   5941   743	   5075   519	   5096   518	   5842   743	   5853   743
24  	   9473   907	   9534   918	   9668   924	   9933   944	   8820   836	   8844   835	   9694   927	   9691   925
32  	  13625  1072	  13692  1066	  13937  1089	  14301  1116	  12765  1006	  12796  1008	  13976  1092	  13967  1089
48  	  22342  1362	  22458  1390	  22977  1398	  23550  1425	  21123  1324	  21167  1331	  23047  1399	  23023  1397
64  	  31675  1610	  31814  1631	  32680  1650	  33462  1681	  30153  1564	  30212  1568	  32780  1653	  32740  1651
96  	  51097  2172	  51324  2285	  52968  2288	  54156  2317	  49057  2240	  49144  2247	  53127  2290	  53058  2287
128 	  71668  2551	  71967  2631	  74496  2673	  76098  2708	  69171  2520	  69286  2524	  74714  2677	  74614  2675
192 	 114196  3519	 114638  3679	 119088  3764	 121469  3811	 111041  3551	 111214  3557	 119421  3768	 119262  3765
256 	 158829  4453	 159353  4702	 165971  4808	 169154  4855	 155220  4561	 155452  4565	 166417  4816	 166203  4808
384 	 251401  6456	 252191  6858	 263484  7033	 268259  7092	 247374  6713	 247716  6720	 264159  7039	 263826  7035
512 	 347267  8235	 348513  8864	 364755  9051	 371074  9111	 343400  8768	 343852  8778	 365661  9065	 365216  9055
768 	 546542 12156	 548306 12768	 575477 13316	 584912 13379	 543549 12721	 544223 12724	 576829 13328	 576153 13320
1024	 750936 16239	 753076 17851	 791840 18192	 804275 18273	 749628 17747	 750513 17753	 793625 18206	 792736 18202
