# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2887   560	   2877   561	   2921   561	   3020   560	   3694   406	   3716   404	   2899   561	   2932   560
24  	   5259   803	   5258   799	   5563   860	   5811   901	   5525   869	   5548   872	   5328   813	   5586   862
32  	   7569  1084	   7575  1084	   8060  1204	   8390  1272	   8059  1229	   8090  1236	   7666  1102	   8090  1208
48  	  12563  1419	  12585  1420	  13488  1580	  13994  1653	  13553  1607	  13600  1615	  12714  1438	  13534  1585
64  	  18038  1660	  18073  1662	  19465  1870	  20151  1949	  19613  1908	  19672  1917	  18250  1684	  19524  1875
96  	  28974  2231	  29035  2232	  31440  2526	  32469  2618	  31699  2573	  31791  2584	  29281  2257	  31529  2533
128 	  40797  2717	  40884  2719	  44437  3116	  45813  3216	  44821  3162	  44938  3173	  41211  2747	  44555  3122
192 	  65503  3724	  65646  3726	  71651  4342	  73724  4455	  72248  4400	  72425  4414	  66105  3757	  71827  4349
256 	  92315  4481	  92512  4483	 101255  5327	 104044  5447	 102112  5379	 102353  5399	  93129  4516	 101491  5335
384 	 147813  6461	 148121  6462	 162632  7698	 166829  7834	 163866  7742	 164220  7756	 148987  6494	 162985  7708
512 	 205931  8293	 206349  8299	 227011  9985	 232602 10118	 228633 10025	 229115 10040	 207462  8328	 227479  9993
768 	 328115 12266	 328751 12276	 362723 14828	 371119 14975	 365054 14851	 365770 14865	 330336 12295	 363418 14840
1024	 455616 15057	 456473 15056	 504244 18549	 515447 18703	 507335 18623	 508285 18649	 458557 15097	 505183 18561
