# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4150   501	   4140   501	   4184   500	   4283   501	   4495   401	   4517   401	   4162   501	   4196   501
24  	   7336   752	   7334   748	   7688   810	   7939   846	   7735   819	   7760   822	   7447   761	   7712   811
32  	  10488   861	  10496   861	  11077   964	  11411  1015	  11246   997	  11278  1004	  10669   878	  11108   967
48  	  17395  1145	  17414  1141	  18499  1272	  19001  1323	  18937  1311	  18983  1318	  17732  1162	  18542  1274
64  	  24393  1269	  24429  1269	  26071  1427	  26740  1483	  26825  1473	  26883  1482	  24908  1287	  26132  1431
96  	  39723  1867	  39787  1866	  42781  2131	  43799  2195	  44285  2168	  44373  2178	  40652  1882	  42869  2133
128 	  55103  2089	  55191  2089	  59633  2391	  60981  2459	  61973  2426	  62094  2439	  56489  2101	  59750  2394
192 	  87680  2764	  87827  2763	  95416  3210	  97424  3273	  99681  3235	  99854  3245	  90101  2767	  95593  3216
256 	 121591  3396	 121794  3397	 132981  4061	 135659  4126	 139387  4067	 139618  4076	 125158  3392	 133215  4062
384 	 191872  4903	 192189  4907	 210993  5862	 214994  5925	 222149  5814	 222493  5824	 197977  4866	 211341  5865
512 	 263708  6427	 264136  6430	 291318  7773	 296610  7847	 307786  7722	 308246  7737	 272601  6392	 291781  7785
768 	 413288  9886	 413942  9885	 459192 12162	 467071 12219	 487278 12023	 487964 12030	 428295  9796	 459871 12163
1024	 565016 11966	 565883 11973	 629795 14874	 640191 14985	 670601 14733	 671494 14742	 586676 11879	 630699 14884
