# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9891    13	   9878    16	   9924    12	  10020    13	   5470  1087	   5490  1085	   9903    11	   9936    11
24  	   8090  1896	   8089  1896	   8447  1928	   8751  1975	   8375  1810	   8399  1813	   8243  1890	   8470  1930
32  	  11128  2462	  11134  2466	  11681  2530	  12092  2609	  11719  2438	  11749  2444	  11348  2459	  11712  2534
48  	  18472  2024	  18492  2026	  19482  2120	  20122  2174	  19675  2078	  19719  2085	  18823  2024	  19527  2122
64  	  26076  2574	  26110  2575	  27610  2725	  28495  2811	  27998  2682	  28060  2691	  26567  2581	  27669  2729
96  	  42436  3207	  42495  3206	  45107  3431	  46464  3546	  45871  3395	  45961  3407	  43196  3223	  45196  3437
128 	  59483  3723	  59573  3727	  63399  4089	  65230  4227	  64530  4080	  64650  4092	  60515  3749	  63520  4094
192 	  96393  4891	  96539  4892	 103011  5415	 105789  5575	 104875  5412	 105056  5426	  97970  4920	 103191  5422
256 	 134932  6004	 135128  6007	 144453  6740	 148179  6896	 147050  6703	 147288  6715	 137051  6037	 144687  6745
384 	 216988  7962	 217300  7963	 232773  9098	 238396  9264	 236818  9092	 237174  9101	 220202  8002	 233126  9105
512 	 303072 10748	 303491 10751	 325611 12335	 333133 12513	 331111 12313	 331589 12332	 307377 10793	 326084 12341
768 	 482502 14768	 483133 14767	 518999 17233	 530268 17425	 527417 17159	 528134 17174	 488993 14813	 519701 17239
1024	 671940 20118	 672787 20126	 723496 23372	 738598 23564	 734845 23188	 735802 23201	 680623 20174	 724437 23378
