# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1632     2	   1620     7	   1664     2	   1760     2	   3420    45	   3441    43	   1636     7	   1668     7
24  	   5108   914	   5107   911	   5369   984	   5673  1056	   5331  1004	   5355  1009	   5173   932	   5392   986
32  	   7609  1389	   7616  1393	   8022  1498	   8432  1604	   8011  1529	   8043  1535	   7694  1412	   8054  1503
48  	  13757  1775	  13779  1780	  14555  1917	  15201  2031	  14611  1953	  14656  1960	  13890  1800	  14600  1923
64  	  20221  2100	  20257  2103	  21457  2273	  22344  2401	  21576  2316	  21637  2323	  20403  2129	  21518  2278
96  	  34324  2738	  34383  2738	  36520  2976	  37874  3116	  36771  3029	  36862  3037	  34600  2771	  36608  2985
128 	  49393  3363	  49480  3366	  52667  3705	  54497  3848	  53045  3758	  53163  3767	  49767  3398	  52785  3709
192 	  81717  4680	  81861  4680	  87336  5166	  90101  5334	  87978  5231	  88161  5244	  82284  4723	  87513  5174
256 	 116117  5976	 116310  5974	 124277  6590	 128003  6775	 125168  6639	 125407  6651	 116876  6017	 124510  6596
384 	 189260  8437	 189569  8437	 202931  9277	 208541  9463	 204345  9350	 204704  9366	 190405  8488	 203289  9286
512 	 266624 11066	 267038 11071	 286266 12368	 293750 12533	 288191 12441	 288673 12455	 268159 11117	 286731 12373
768 	 429028 15631	 429668 15634	 461546 17650	 472839 17818	 464521 17711	 465241 17725	 431340 15679	 462252 17656
1024	 600049 19570	 600907 19576	 645908 21879	 660994 22091	 649926 21941	 650888 21947	 603141 19622	 646849 21888
