# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5842   738	   5833   738	   5876   738	   5976   738	   5739   570	   5760   569	   5854   738	   5888   738
24  	   9980  1005	   9979  1004	  10310  1053	  10616  1091	  10040  1038	  10064  1040	  10107  1016	  10333  1054
32  	  14353  1145	  14360  1142	  14878  1196	  15298  1245	  14606  1230	  14637  1235	  14550  1157	  14908  1196
48  	  23914  1514	  23934  1509	  24940  1593	  25583  1649	  24759  1635	  24806  1640	  24279  1525	  24984  1595
64  	  33969  1754	  34004  1753	  35580  1848	  36466  1903	  35504  1907	  35567  1914	  34524  1761	  35638  1848
96  	  55460  2379	  55521  2375	  58332  2542	  59683  2605	  58544  2615	  58634  2625	  56434  2388	  58422  2545
128 	  77985  3017	  78073  3012	  82312  3229	  84143  3289	  82978  3278	  83098  3284	  79427  3020	  82428  3230
192 	 125694  4110	 125838  4104	 133217  4448	 135994  4531	 134875  4496	 135054  4505	 128147  4113	 133395  4453
256 	 175838  5247	 176034  5241	 186820  5717	 190531  5784	 189565  5758	 189807  5770	 179382  5231	 187051  5718
384 	 281385  7909	 281690  7903	 299877  8655	 305498  8727	 305237  8582	 305599  8596	 287290  7871	 300227  8660
512 	 391146  9538	 391557  9536	 417729 10405	 425220 10465	 425980 10286	 426454 10295	 399574  9488	 418201 10407
768 	 621532 14831	 622178 14829	 665401 16182	 676697 16222	 680183 15972	 680906 15985	 635356 14702	 666102 16180
1024	 859702 19213	 860566 19210	 922048 21263	 937135 21345	 944016 20911	 944977 20923	 879253 19054	 922980 21269
