# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3761   661	   3751   661	   3797   661	   3896   662	   4397   338	   4419   338	   3775   661	   3807   661
24  	   6493   666	   6493   665	   6802   662	   7066   662	   6812   629	   6834   628	   6633   665	   6824   662
32  	   9555   630	   9565   630	  10163   665	  10588   690	  10457   722	  10490   726	   9833   645	  10195   666
48  	  14926   915	  14941   918	  15888   993	  16389  1045	  16428  1103	  16465  1111	  15361   942	  15926   995
64  	  22431  1139	  22465  1143	  24125  1208	  24925  1262	  25364  1278	  25420  1282	  23214  1180	  24180  1212
96  	  36122   861	  36178   860	  39123   921	  40249   943	  41552   962	  41629   968	  37510   872	  39201   921
128 	  53173  1807	  53258  1813	  57789  1968	  59369  2091	  61665  2151	  61769  2162	  55331  1892	  57896  1976
192 	  85949  1701	  86079  1704	  93953  1906	  96235  1994	 100989  2031	 101141  2036	  89705  1750	  94103  1910
256 	 124624  2393	 124815  2402	 136575  2639	 139798  2787	 147304  2839	 147513  2846	 130278  2493	 136790  2650
384 	 200473  3298	 200761  3310	 220655  3687	 225322  3865	 239102  3913	 239412  3928	 210057  3414	 220959  3696
512 	 286868  2890	 287262  2903	 316152  3234	 322542  3372	 343194  3392	 343608  3395	 300847  2978	 316571  3245
768 	 458268  6785	 458859  6806	 506886  7638	 516222  8007	 552260  8097	 552856  8121	 481571  7034	 507492  7666
1024	 651191  3990	 652004  4001	 720906  4729	 733755  4849	 786381  4850	 787210  4858	 684722  4050	 721742  4730
