# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6949    10	   6940    10	   6950    10	   7047    11	   4679   724	   4699   720	   6950    10	   6961    13
24  	   6321  1360	   6319  1358	   6642  1393	   6891  1431	   7163  1378	   7186  1381	   6643  1395	   6665  1394
32  	   8695  1805	   8700  1806	   9207  1869	   9536  1931	  10078  1888	  10108  1894	   9212  1870	   9237  1872
48  	  14446  1474	  14466  1472	  15399  1566	  15897  1623	  17012  1651	  17057  1657	  15411  1571	  15443  1570
64  	  20439  1925	  20470  1927	  21906  2058	  22591  2139	  24346  2190	  24407  2197	  21926  2063	  21966  2062
96  	  33021  2388	  33083  2392	  35587  2583	  36617  2681	  39740  2797	  39829  2805	  35621  2587	  35675  2590
128 	  46296  2722	  46384  2723	  50097  3012	  51481  3121	  56099  3348	  56218  3355	  50147  3016	  50216  3016
192 	  74213  3471	  74353  3475	  80630  3855	  82701  3989	  90476  4358	  90652  4368	  80709  3863	  80805  3864
256 	 103798  4370	 103998  4371	 113050  4933	 115829  5068	 126958  5652	 127197  5664	 113161  4936	 113286  4941
384 	 165887  5862	 166187  5868	 181274  6702	 185451  6846	 203788  7827	 204143  7835	 181442  6706	 181624  6709
512 	 230651  7389	 231057  7395	 252625  8506	 258211  8672	 284187 10004	 284661 10014	 252859  8515	 253091  8518
768 	 366012 10209	 366635 10217	 401982 12081	 410353 12242	 452464 14492	 453175 14503	 402334 12090	 402680 12089
1024	 507741 13408	 508585 13418	 558246 15576	 569452 15764	 628194 18601	 629152 18623	 558724 15586	 559187 15590
