# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3589   690	   3579   690	   3590   690	   4027   820	   4538   492	   4559   490	   3589   690	   3601   690
24  	   6262   922	   6263   923	   6506   962	   7036  1072	   6807  1061	   6831  1064	   6666   996	   6530   964
32  	   8973  1213	   8978  1214	   9381  1302	  10078  1421	  10008  1512	  10039  1517	   9680  1382	   9411  1306
48  	  14715  1596	  14734  1597	  15506  1715	  16460  1852	  16893  1995	  16941  2001	  16139  1831	  15552  1719
64  	  21149  1882	  21181  1880	  22404  2034	  23692  2195	  24713  2408	  24775  2415	  23436  2189	  22464  2038
96  	  33665  2426	  33725  2427	  35866  2658	  37601  2833	  40021  3235	  40110  3245	  37747  2905	  35953  2661
128 	  47550  2931	  47635  2932	  50845  3198	  53129  3384	  57164  3897	  57282  3906	  53705  3497	  50961  3203
192 	  76169  3960	  76311  3962	  81775  4364	  85006  4561	  92610  5437	  92791  5448	  86761  4839	  81950  4373
256 	 107126  5071	 107322  5069	 115359  5695	 119661  5915	 131404  7288	 131643  7298	 122769  6424	 115598  5703
384 	 170597  7009	 170903  7002	 184248  7882	 190449  8127	 210868 10169	 211223 10183	 196712  8941	 184601  7889
512 	 237992  8823	 238405  8822	 257520 10017	 265654 10244	 295647 13207	 296120 13222	 275494 11502	 257989 10030
768 	 378584 12665	 379205 12660	 410860 14470	 422789 14691	 473942 19338	 474654 19350	 440873 16745	 411563 14485
1024	 526364 16698	 527211 16699	 572009 19214	 587875 19451	 661349 25827	 662300 25850	 614703 22317	 572963 19218
