# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3460   554	   3450   554	   3462   554	   3896   662	   4456   305	   4478   305	   3462   554	   3473   554
24  	   6047   562	   6047   562	   6323   560	   6828   662	   6818   564	   6840   565	   6459   561	   6345   559
32  	   8899   558	   8909   559	   9462   590	  10060   654	  10728   708	  10762   711	   9761   618	   9496   593
48  	  13765   835	  13780   837	  14683   910	  15483   988	  16870  1156	  16905  1164	  15177   973	  14720   914
64  	  20647  1038	  20683  1042	  22275  1107	  23300  1211	  26421  1359	  26477  1362	  23151  1151	  22332  1111
96  	  33056   749	  33112   751	  35974   815	  37289   887	  43655  1081	  43731  1085	  37554   918	  36051   817
128 	  48424  1701	  48509  1710	  52930  1865	  54768  1992	  65031  2417	  65135  2424	  55351  1984	  53034  1874
192 	  77965  1514	  78096  1519	  85815  1731	  88345  1828	 107308  2435	 107459  2442	  90037  1990	  85966  1735
256 	 112795  2171	 112988  2178	 124583  2444	 127986  2590	 157154  3404	 157366  3409	 130891  2730	 124795  2456
384 	 180310  2927	 180600  2938	 200183  3288	 205033  3456	 255748  4576	 256057  4586	 210740  3710	 200487  3297
512 	 257867  2686	 258266  2702	 286718  3110	 293354  3269	 367927  4821	 368338  4824	 301967  3734	 287135  3121
768 	 409846  6121	 410430  6148	 457829  6960	 467388  7327	 593828  9768	 594428  9790	 483095  7879	 458432  6984
1024	 582002  3603	 582807  3611	 650904  4445	 663951  4590	 846973  7899	 847803  7900	 687090  5920	 651746  4456
