# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5161   623	   5152   623	   5162   622	   5908   743	   5531   493	   5553   492	   5162   622	   5173   622
24  	   8777   872	   8777   873	   9069   910	  10039  1031	   9546  1001	   9570  1004	   9236   945	   9092   911
32  	  12482   991	  12489   989	  12983  1049	  14281  1177	  13957  1220	  13988  1225	  13296  1113	  13013  1051
48  	  20519  1297	  20540  1297	  21484  1364	  23401  1517	  23590  1563	  23634  1568	  22105  1440	  21530  1366
64  	  28696  1506	  28731  1506	  30207  1582	  32716  1753	  33647  1840	  33704  1847	  31188  1682	  30267  1584
96  	  46389  2079	  46451  2079	  49183  2228	  52842  2431	  55794  2665	  55886  2672	  51040  2422	  49271  2230
128 	  64304  2280	  64395  2278	  68495  2458	  73235  2661	  78581  3029	  78697  3037	  71272  2713	  68609  2460
192 	 101866  3223	 102010  3225	 109158  3499	 115949  3727	 127067  4330	 127241  4334	 114010  3883	 109332  3501
256 	 140537  3883	 140741  3883	 151221  4248	 159960  4457	 177740  5459	 177975  5469	 158331  4815	 151452  4251
384 	 220799  5329	 221115  5324	 238925  5981	 251218  6177	 284518  7948	 284859  7962	 250913  6968	 239269  5984
512 	 302726  7345	 303152  7354	 328985  8358	 344532  8550	 395491 11195	 395945 11208	 346343  9736	 329444  8359
768 	 473090 10617	 473741 10607	 516735 12075	 538186 12255	 628458 16277	 629138 16291	 545338 14194	 517420 12083
1024	 645531 12550	 646401 12563	 707810 14356	 734561 14511	 868299 19639	 869195 19654	 748399 16965	 708708 14358
