# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   6992    12	   7014    10	   6983    10	   7085     9	   4559   773	   4568   768	   6982    10	   6992    12
24  	   6758  1382	   6809  1375	   6829  1389	   7070  1431	   6948  1399	   6958  1399	   6982  1435	   6852  1390
32  	   9328  1856	   9402  1864	   9402  1860	   9725  1926	   9695  1896	   9703  1896	   9682  1938	   9432  1864
48  	  15478  1565	  15590  1559	  15588  1563	  16080  1626	  16370  1710	  16379  1713	  16176  1689	  15633  1566
64  	  21874  2089	  22029  2086	  22027  2095	  22705  2180	  23428  2323	  23436  2327	  22994  2270	  22088  2099
96  	  35302  2610	  35541  2606	  35537  2611	  36554  2718	  38361  2967	  38367  2970	  37324  2859	  35627  2619
128 	  49279  3027	  49596  3020	  49601  3026	  50962  3144	  54123  3680	  54130  3682	  52349  3420	  49719  3033
192 	  78969  3903	  79450  3904	  79447  3896	  81495  4037	  87679  4939	  87684  4940	  84279  4482	  79623  3905
256 	 110160  5018	 110806  5014	 110813  5019	 113560  5161	 123144  6555	 123148  6554	 117931  5840	 111047  5025
384 	 175840  6670	 176801  6657	 176812  6670	 180951  6833	 198440  9097	 198436  9102	 189047  7923	 177164  6680
512 	 243740  8835	 245038  8828	 245041  8823	 250560  9008	 276555 12269	 276545 12270	 262677 10593	 245511  8833
768 	 385918 12641	 387865 12621	 387890 12634	 396200 12833	 440850 18126	 440827 18126	 417181 15388	 388596 12640
1024	 533738 14825	 536329 14813	 536372 14799	 547435 14985	 612398 21881	 612366 21884	 578119 18294	 537305 14812
