# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4278   497	   4301   497	   4268   497	   4366   497	   4748   418	   4758   414	   4268   496	   4278   497
24  	   7999   826	   8049   815	   8072   835	   8313   875	   8155   874	   8165   871	   8222   885	   8095   835
32  	  11516   950	  11591   945	  11595   959	  11923  1018	  11838  1010	  11847  1010	  11868  1024	  11625   962
48  	  19328  1221	  19441  1209	  19436  1228	  19934  1288	  20229  1367	  20237  1368	  20029  1337	  19481  1231
64  	  27486  1404	  27639  1398	  27637  1407	  28305  1478	  29118  1604	  29126  1607	  28602  1548	  27695  1411
96  	  45102  1879	  45339  1870	  45337  1878	  46352  1958	  48381  2265	  48388  2269	  47124  2110	  45426  1883
128 	  63398  2409	  63719  2394	  63713  2407	  65074  2501	  68614  3032	  68623  3033	  66451  2764	  63829  2409
192 	 102522  3243	 102997  3229	 103003  3242	 105063  3356	 112143  4201	 112149  4205	 107861  3767	 103180  3249
256 	 143263  4021	 143909  4010	 143908  4029	 146663  4140	 157712  5271	 157713  5270	 151055  4670	 144144  4030
384 	 229218  5597	 230189  5577	 230203  5599	 234341  5712	 254231  7666	 254231  7670	 242299  6637	 230556  5601
512 	 318160  6762	 319445  6747	 319475  6752	 324976  6888	 354849  9728	 354840  9739	 336966  8209	 319939  6760
768 	 506543 10635	 508502 10622	 508524 10630	 516836 10761	 568676 15466	 568653 15467	 537753 12994	 509233 10634
1024	 700374 13989	 702962 13945	 703022 13970	 714094 14111	 789748 20519	 789722 20518	 744684 17167	 703955 13973
