# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2839   447	   2861   447	   2829   447	   2929   447	   3760   253	   3771   253	   2830   447	   2841   447
24  	   5537   460	   5591   460	   5602   461	   5812   461	   5700   470	   5711   471	   5723   464	   5624   460
32  	   8490   559	   8576   565	   8561   559	   8895   585	   8887   599	   8899   602	   8837   589	   8593   560
48  	  13025   877	  13128   887	  13104   881	  13494   932	  13878   983	  13889   986	  13572   947	  13141   886
64  	  20149  1082	  20321  1096	  20315  1106	  20915  1146	  21914  1216	  21924  1217	  21133  1142	  20371  1110
96  	  32561   767	  32806   773	  32799   765	  33633   789	  36070   982	  36081   984	  34295   867	  32878   766
128 	  48150  1827	  48509  1856	  48519  1861	  49663  1945	  53737  2072	  53746  2072	  50802  1959	  48627  1869
192 	  78072  1666	  78605  1690	  78660  1695	  80283  1755	  88361  2185	  88371  2188	  82644  1914	  78813  1700
256 	 113870  2448	 114635  2488	 114725  2491	 116998  2590	 129447  3041	 129453  3042	 120682  2733	 114939  2498
384 	 182935  3162	 184064  3208	 184233  3220	 187494  3337	 209855  4181	 209864  4181	 194266  3645	 184536  3233
512 	 262824  3173	 264396  3218	 264679  3219	 269122  3335	 302296  4511	 302307  4508	 279198  3792	 265094  3229
768 	 419229  6686	 421554  6784	 422005  6813	 428437  7063	 485760  8656	 485763  8661	 446132  7630	 422615  6838
1024	 597696  4209	 600920  4253	 601592  4261	 610415  4352	 693656  7497	 693668  7494	 636188  5727	 602418  4275
