# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3971   819	   3994   819	   3961   819	   4060   819	   4489   544	   4498   542	   3961   819	   3972   819
24  	   7145  1113	   7170  1088	   7182  1114	   7473  1165	   6715  1030	   6725  1028	   7338  1143	   7204  1115
32  	  10332  1490	  10366  1485	  10351  1485	  10758  1573	   9744  1381	   9752  1380	  10649  1559	  10382  1488
48  	  17043  1941	  17097  1944	  17054  1933	  17695  2033	  16208  1817	  16218  1818	  17684  2036	  17099  1937
64  	  24711  2289	  24795  2300	  24726  2285	  25612  2394	  23620  2162	  23629  2161	  25763  2410	  24786  2289
96  	  39661  3070	  39758  3115	  39676  3060	  41023  3195	  38102  2955	  38110  2956	  41561  3253	  39767  3067
128 	  55860  3553	  56007  3653	  55878  3544	  57681  3680	  53861  3481	  53867  3480	  58742  3803	  55996  3552
192 	  90069  4948	  90273  5136	  90088  4935	  92841  5103	  87085  4949	  87086  4948	  95104  5352	  90266  4942
256 	 126839  5917	 127064  6219	 126863  5900	 130546  6070	 122867  6017	 122865  6014	 134218  6444	 127099  5909
384 	 203444  8531	 203856  8929	 203471  8522	 209035  8715	 197620  8725	 197610  8727	 216009  9325	 203825  8525
512 	 284497 11105	 284799 11813	 284534 11082	 291975 11294	 276516 11565	 276509 11563	 302542 12237	 285003 11089
768 	 453530 15281	 454392 16439	 453586 15257	 464746 15487	 442059 16162	 442035 16170	 483655 16934	 454270 15269
1024	 631347 20656	 632162 22462	 631388 20631	 646312 20874	 615728 22222	 615696 22227	 674117 23127	 632326 20643
