# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5380   740	   5402   739	   5370   740	   5469   740	   5188   493	   5198   492	   5370   739	   5381   741
24  	   9717  1008	   9750  1004	   9753  1009	  10041  1046	   9156   953	   9166   952	   9909  1041	   9777  1010
32  	  14062  1125	  14104  1124	  14082  1124	  14481  1167	  13294  1064	  13306  1064	  14373  1163	  14112  1126
48  	  23836  1516	  23894  1532	  23849  1510	  24483  1566	  22745  1494	  22754  1495	  24471  1579	  23895  1512
64  	  34033  1788	  34117  1825	  34047  1782	  34912  1840	  32668  1755	  32675  1760	  35050  1877	  34105  1782
96  	  55803  2407	  55910  2443	  55822  2402	  57137  2464	  53903  2379	  53911  2384	  57669  2525	  55912  2404
128 	  78771  2962	  78873  3046	  78793  2955	  80559  3025	  76302  2981	  76310  2981	  81571  3155	  78911  2955
192 	 127669  3947	 127913  4169	 127695  3940	 130387  4008	 124379  4123	 124386  4132	 132633  4254	 127870  3943
256 	 178559  5270	 178845  5688	 178583  5256	 182190  5330	 174421  5593	 174428  5599	 185838  5792	 178815  5256
384 	 286472  7522	 286854  8003	 286502  7514	 291955  7600	 280762  7863	 280766  7866	 298811  8245	 286862  7520
512 	 398996  9613	 399422 10275	 399033  9587	 406322  9696	 391927 10144	 391929 10150	 416784 10603	 399494  9590
768 	 635400 14456	 635960 15242	 635467 14447	 646444 14526	 625827 15031	 625815 15034	 664999 15922	 636178 14446
1024	 880736 17379	 882198 18628	 880776 17379	 895424 17481	 869824 18415	 869810 18422	 923201 19281	 881719 17395
