# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2887   561	   2877   561	   2921   561	   3021   561	   3425   456	   3445   454	   2899   561	   2932   560
24  	   5052   948	   5043   936	   5409  1070	   5682  1123	   5375  1087	   5399  1089	   5135   974	   5431  1067
32  	   7273  1213	   7270  1204	   7862  1409	   8232  1492	   7866  1439	   7898  1444	   7391  1249	   7891  1408
48  	  12054  1707	  12055  1693	  13138  1981	  13706  2075	  13205  2018	  13254  2026	  12234  1748	  13180  1981
64  	  17366  2097	  17380  2084	  19005  2442	  19766  2543	  19159  2482	  19222  2490	  17613  2137	  19063  2442
96  	  28300  2988	  28326  2979	  31184  3536	  32337  3653	  31448  3597	  31543  3609	  28665  3042	  31268  3537
128 	  40421  3720	  40466  3705	  44707  4396	  46259  4513	  45105  4450	  45233  4460	  40918  3771	  44820  4395
192 	  65444  5367	  65525  5354	  72677  6362	  75012  6494	  73301  6422	  73490  6434	  66170  5424	  72843  6361
256 	  92770  7013	  92885  6989	 103188  8347	 106312  8499	 104072  8415	 104323  8428	  93743  7072	 103411  8345
384 	 149861 10034	 150040 10027	 167196 11990	 171866 12121	 168481 12048	 168858 12062	 151260 10085	 167529 11987
512 	 210644 13731	 210890 13716	 235340 16308	 241593 16459	 237034 16350	 237541 16364	 212498 13787	 235783 16309
768 	 336735 19462	 337117 19449	 376849 23357	 386235 23500	 379302 23399	 380063 23406	 339435 19515	 377521 23356
1024	 472939 26552	 473433 26529	 529996 31668	 542568 31843	 533233 31720	 534249 31740	 476533 26611	 530891 31668
