# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3834   499	   3824   499	   3868   498	   3968   499	   4006   449	   4026   446	   3846   499	   3879   498
24  	   6684   761	   6679   755	   7070   846	   7334   883	   7126   856	   7149   857	   6809   775	   7092   844
32  	   9657   894	   9657   884	  10293  1022	  10648  1076	  10472  1049	  10504  1054	   9854   914	  10322  1021
48  	  16410  1278	  16421  1267	  17644  1487	  18194  1549	  18100  1519	  18147  1525	  16774  1304	  17687  1485
64  	  23480  1722	  23503  1713	  25419  2063	  26161  2136	  26211  2109	  26277  2119	  24034  1752	  25478  2063
96  	  38810  2441	  38856  2436	  42212  2893	  43336  2977	  43720  2929	  43816  2941	  39772  2461	  42301  2895
128 	  54948  3285	  55012  3274	  60029  3904	  61546  3989	  62329  3919	  62458  3930	  56360  3298	  60147  3903
192 	  89816  4911	  89932  4899	  98583  5839	 100866  5921	 102639  5842	 102830  5856	  92211  4909	  98760  5841
256 	 125943  5752	 126105  5752	 138555  6915	 141609  6998	 144543  6902	 144798  6916	 129405  5738	 138794  6919
384 	 202715  9343	 202976  9338	 223948 11243	 228532 11327	 234102 11170	 234480 11186	 208471  9306	 224303 11242
512 	 284012 12540	 284358 12534	 314368 14997	 320486 15094	 328986 14873	 329486 14885	 292210 12473	 314846 14998
768 	 454510 18510	 455040 18514	 504723 22122	 513917 22193	 529035 21897	 529808 21911	 467958 18386	 505437 22121
1024	 633378 24580	 634093 24556	 704637 29304	 716887 29368	 739184 28946	 740196 28959	 652381 24392	 705572 29304
