# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2761   447	   2752   447	   2797   448	   2896   447	   3193   259	   3216   259	   2775   447	   2807   447
24  	   4609   449	   4608   449	   4938   453	   5159   453	   5026   456	   5049   457	   4736   450	   4959   453
32  	   6718   470	   6729   471	   7363   527	   7704   539	   7675   584	   7706   590	   6971   487	   7395   528
48  	  10704   587	  10720   589	  11732   690	  12141   728	  12348   770	  12385   780	  11118   611	  11770   693
64  	  16035   735	  16068   739	  17819   858	  18439   894	  19031   935	  19087   941	  16770   773	  17874   860
96  	  26124   648	  26181   648	  29259   825	  30129   843	  31592   878	  31669   886	  27446   663	  29338   826
128 	  38418  1174	  38503  1179	  43221  1459	  44423  1536	  46941  1596	  47049  1608	  40474  1245	  43328  1466
192 	  63039  1343	  63169  1351	  71330  1764	  73066  1821	  78073  1845	  78226  1853	  66660  1386	  71486  1769
256 	  91128  1618	  91320  1622	 103465  2148	 105884  2218	 113681  2250	 113894  2259	  96574  1682	 103679  2154
384 	 148359  2736	 148643  2745	 169170  3609	 172680  3711	 186856  3762	 187162  3775	 157656  2823	 169476  3617
512 	 211527  2456	 211923  2461	 241545  3549	 246319  3614	 267473  3636	 267890  3645	 225093  2515	 241963  3554
768 	 342033  5638	 342622  5658	 391996  7444	 399004  7671	 435750  7754	 436358  7768	 364761  5828	 392601  7462
1024	 483714  4206	 484525  4215	 554882  6362	 564444  6407	 617946  6400	 618771  6406	 516381  4235	 555717  6367
