# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=true, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   9890    13	   9877    15	   9923    13	  10020    13	   5711  1589	   5731  1585	   9903    11	   9935    11
24  	   8107  2152	   8099  2144	   8514  2203	   8850  2256	   8393  2048	   8418  2051	   8269  2150	   8536  2201
32  	  11067  2697	  11060  2686	  11736  2835	  12207  2947	  11741  2735	  11774  2742	  11310  2712	  11764  2836
48  	  17982  2540	  17985  2529	  19177  2716	  19903  2809	  19342  2659	  19389  2666	  18368  2559	  19220  2714
64  	  25579  3221	  25588  3210	  27403  3535	  28399  3664	  27749  3486	  27812  3496	  26117  3258	  27458  3535
96  	  41866  4015	  41898  4003	  45010  4462	  46525  4601	  45690  4461	  45786  4470	  42693  4056	  45094  4463
128 	  59549  5053	  59593  5033	  64162  5661	  66212  5819	  65174  5668	  65299  5678	  60672  5106	  64273  5660
192 	  97213  7144	  97289  7132	 104981  8021	 108097  8191	 106685  8039	 106876  8048	  98932  7200	 105148  8020
256 	 137552  9486	 137658  9458	 148757 10704	 152940 10906	 151127 10714	 151380 10725	 139869  9551	 148980 10705
384 	 222487 13659	 222671 13645	 241129 15594	 247399 15776	 244901 15614	 245282 15621	 225986 13722	 241464 15596
512 	 312624 18587	 312876 18568	 339201 21134	 347596 21331	 344282 21157	 344789 21173	 317324 18663	 339648 21135
768 	 501782 27968	 502151 27957	 544644 31581	 557286 31787	 552428 31563	 553178 31578	 508862 28046	 545304 31585
1024	 699888 34059	 700400 34043	 760516 39310	 777471 39528	 771068 39307	 772081 39322	 709387 34149	 761407 39310
